noh_crop,i_crop_a,un_crop_a,tca,state_code,district_code,district,social_group_code,class_category_code,size_class_code,crop_code
0,0,0,0,28,540,WARANGAL,2,5,52,520
0,0,0,0,28,540,WARANGAL,2,5,51,520
5,6,0,6,28,540,WARANGAL,2,3,31,520
0,0,0,0,28,540,WARANGAL,2,4,42,520
0,0,0,0,28,540,WARANGAL,2,4,41,520
0,0,0,0,28,540,WARANGAL,2,1,12,520
0,0,0,0,28,540,WARANGAL,2,4,43,520
0,0,0,0,28,540,WARANGAL,2,1,11,520
0,0,0,0,28,540,WARANGAL,2,2,21,520
0,0,0,0,28,540,WARANGAL,2,3,32,520
0,0,0,0,28,538,MAHABUBNAGAR,3,4,43,520
0,0,0,0,28,538,MAHABUBNAGAR,3,5,52,520
0,0,0,0,28,538,MAHABUBNAGAR,3,5,51,520
7,3,0,3,28,538,MAHABUBNAGAR,3,2,21,520
0,0,0,0,28,538,MAHABUBNAGAR,3,4,41,520
9,0,8,8,28,538,MAHABUBNAGAR,3,1,12,520
5,2,0,2,28,538,MAHABUBNAGAR,3,1,11,520
0,0,0,0,28,538,MAHABUBNAGAR,3,3,32,520
0,0,0,0,28,538,MAHABUBNAGAR,3,4,42,520
0,0,0,0,28,538,MAHABUBNAGAR,3,3,31,520
0,0,0,0,28,537,RANGAREDDY,2,5,52,520
0,0,0,0,28,537,RANGAREDDY,2,3,32,520
0,0,0,0,28,537,RANGAREDDY,2,4,41,520
0,0,0,0,28,537,RANGAREDDY,3,4,41,520
0,0,0,0,28,537,RANGAREDDY,3,3,32,520
0,0,0,0,28,537,RANGAREDDY,3,4,42,520
0,0,0,0,28,537,RANGAREDDY,2,1,11,520
0,0,0,0,28,537,RANGAREDDY,3,4,43,520
0,0,0,0,28,537,RANGAREDDY,2,5,51,520
0,0,0,0,28,537,RANGAREDDY,3,2,21,520
4,0,9,9,28,537,RANGAREDDY,2,3,31,520
3,0,6,6,28,537,RANGAREDDY,2,2,21,520
7,0,15,15,28,537,RANGAREDDY,3,3,31,520
0,0,0,0,28,537,RANGAREDDY,2,4,42,520
0,0,0,0,28,537,RANGAREDDY,2,4,43,520
0,0,0,0,28,537,RANGAREDDY,2,1,12,520
0,0,0,0,28,537,RANGAREDDY,3,1,11,520
0,0,0,0,28,537,RANGAREDDY,3,1,12,520
0,0,0,0,28,537,RANGAREDDY,3,5,51,520
0,0,0,0,28,537,RANGAREDDY,3,5,52,520
0,0,0,0,28,534,KARIMNAGAR,3,5,51,520
0,0,0,0,28,535,MEDAK,2,1,12,520
2,0,1,1,28,535,MEDAK,2,2,21,520
0,0,0,0,28,535,MEDAK,2,5,51,520
0,0,0,0,28,535,MEDAK,2,4,43,520
0,0,0,0,28,534,KARIMNAGAR,3,4,42,520
0,0,0,0,28,535,MEDAK,2,4,42,520
0,0,0,0,28,534,KARIMNAGAR,3,3,32,520
0,0,0,0,28,535,MEDAK,2,4,41,520
0,0,0,0,28,534,KARIMNAGAR,3,1,11,520
0,0,0,0,28,534,KARIMNAGAR,3,5,52,520
0,0,0,0,28,535,MEDAK,2,5,52,520
0,0,0,0,28,534,KARIMNAGAR,3,4,41,520
5,1,0,1,28,534,KARIMNAGAR,3,2,21,520
0,0,0,0,28,535,MEDAK,2,3,31,520
0,0,0,0,28,534,KARIMNAGAR,3,1,12,520
0,0,0,0,28,535,MEDAK,2,1,11,520
0,0,0,0,28,535,MEDAK,2,3,32,520
0,0,0,0,28,534,KARIMNAGAR,3,4,43,520
0,0,0,0,28,534,KARIMNAGAR,3,3,31,520
0,0,0,0,28,535,MEDAK,3,4,41,715
8,1,0,1,28,535,MEDAK,3,1,12,715
