,,Total Holdings,,Gross Cropped Area,,
,district,Number,Area,Irrigated,Unirrigated,Total
1,ADILABAD,519995,728579,85925,565374,651299
2,NIZAMABAD,473528,434476,373903,205407,579310
3,KARIMNAGAR,662345,638690,518545,141753,660297
4,MEDAK,684543,662932,206718,352607,559325
5,RANGAREDDY,342671,419634,80097,153564,233661
6,MAHABUBNAGAR,982314,1204862,304133,712773,1016906
7,NALGONDA,757188,904236,479426,311525,790951
8,WARANGAL,663061,667311,427059,202812,629872
9,KHAMMAM,468337,536105,286195,274898,561094
10,SRIKAKULAM,525870,349412,265126,194922,460048
11,VIZIANAGARAM,446841,342484,167358,198006,365364
12,VISAKHAPATNAM,474738,400083,180938,204075,385013
13,EAST GODAVARI,698714,501366,493411,181289,674700
14,WEST GODAVARI,565831,470051,682442,31174,713616
15,KRISHNA,551567,508413,432948,295676,728624
16,GUNTUR,760648,701404,551587,305034,856621
17,PRAKASAM,670553,847508,229861,506604,736465
18,NELLORE,457015,478919,386668,109497,496165
19,KADAPA,441306,542399,187658,309785,497444
20,KURNOOL,632902,1050086,253753,745416,999168
21,ANANTHAPUR,727951,1278010,186464,977272,1163737
22,CHITTOOR,667182,626306,205440,237429,442869
,,,,,,
,,,,,,
