,,total holdings,,wholly irrigated holdings,,wholly unirrigated holdings,,partly irrigated holdings ,,,holdings receiving irrigation,
,district,Number,Area,Number,Area,Number,Area,Number,Total Area,Irrigated Area,Number,Net Irrigated Area
1,ADILABAD,111340,187245,5863,4812,90712,146434,1511,3254,1652,7374,6464
2,NIZAMABAD,38982,33612,22644,17520,10843,9384,2042,2832,1298,24686,18817
3,KARIMNAGAR,19332,16651,9904,7141,5965,4299,1935,2290,2012,11839,9153
4,MEDAK,35100,36362,7292,5394,19004,18994,4708,4964,2788,12000,8182
5,RANGAREDDY,29498,32328,6322,5040,13226,11276,2652,3617,1878,8974,6918
6,MAHABUBNAGAR,90948,97770,12088,9946,54176,48225,10191,18424,7512,22279,17458
7,NALGONDA,84584,84019,29827,20066,26077,23829,7634,12760,5721,37461,25788
8,WARANGAL,106316,102576,57401,48637,33835,27325,9627,14629,8023,67028,56659
9,KHAMMAM,156327,180118,43263,35456,87049,95324,13187,26250,10766,56450,46222
10,SRIKAKULAM,36050,26845,10530,5475,15510,10278,3882,4300,2226,14412,7701
11,VIZIANAGARAM,39185,36850,6287,3862,28609,24364,3812,6501,3431,10099,7293
12,VISAKHAPATNAM,108507,174416,24312,24203,55227,69571,28968,52628,20180,53280,44383
13,EAST GODAVARI,43952,81435,13126,14358,23304,18851,1909,3498,1207,15035,15565
14,WEST GODAVARI,20810,24157,12220,13726,6322,6622,78,160,89,12298,13815
15,KRISHNA,12631,9287,6456,3565,5278,3948,498,570,244,6954,3809
16,GUNTUR,21028,18891,13523,11068,6071,4635,204,257,133,13727,11201
17,PRAKASAM,13818,12384,5233,3918,6996,5142,388,566,263,5621,4180
18,NELLORE,24706,14318,19714,9522,3128,2260,130,147,71,19844,9592
19,KADAPA,8527,7573,3104,1781,2994,2539,202,244,81,3306,1863
20,KURNOOL,12331,16423,3090,2755,7784,10047,367,654,283,3457,3039
21,ANANTHAPUR,29469,42531,1964,2821,24627,31196,1780,3406,1171,3744,3992
22,CHITTOOR,16039,12322,4814,2498,7412,4499,933,1006,432,5747,2930
,,,,,,,,,,,,
