,,Total Holdings,,canals ,,tanks ,,wells ,,tubewells,,other sources ,,,
,District Name,Number,Area,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,Exclusive Number of Holdings Receiving Irrigation,Total Net Irrigated Area
-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,-16
1,ADILABAD,519995,728579,24170,20086,32037,18599,21091,21281,17331,18304,256,469,90002,78739
2,NIZAMABAD,473528,434476,106198,69800,29981,16624,6353,4153,158191,140554,1149,1103,282556,232234
3,KARIMNAGAR,662345,638690,147870,84628,37366,24381,311907,296185,9081,10329,4290,6113,455606,421636
4,MEDAK,684543,662932,7303,2530,38411,16487,17802,11706,179010,137626,5681,4308,237919,172658
5,RANGAREDDY,342671,419634,5080,4038,4858,2250,11986,8823,71895,51013,980,1477,92438,67600
6,MAHABUBNAGAR,982314,1204862,55019,52948,14030,9951,9858,9262,187784,190855,17753,18313,279624,281330
7,NALGONDA,757188,904236,143883,121404,21674,12835,42544,36866,171633,140892,6003,7006,372221,319003
8,WARANGAL,663061,667311,6878,9486,80497,55007,314444,270447,17996,15155,6808,6911,417189,357007
9,KHAMMAM,468337,536105,88563,74241,80057,60331,38285,38998,32045,36191,15717,13869,240433,223629
10,SRIKAKULAM,525870,349412,258109,156477,110132,57765,9332,4620,8438,5509,8120,5644,388075,230015
11,VIZIANAGARAM,446841,342484,52651,33929,211532,92506,20121,9376,14476,14026,4513,4904,287644,154740
12,VISAKHAPATNAM,474738,400083,114138,56571,123779,56254,19275,7899,15566,6572,50739,43452,317676,170748
13,EAST GODAVARI,698714,501366,351925,181700,61908,49624,1798,1346,88477,64491,15120,12156,509563,309318
14,WEST GODAVARI,565831,470051,291684,187106,18055,13804,4028,2702,197114,202831,20147,16018,528339,422461
15,KRISHNA,551567,508413,317327,248380,28303,19338,5232,4768,51626,51708,20002,16244,418656,340438
16,GUNTUR,760648,701404,402966,333226,5548,5670,4014,3083,73406,76304,20688,19048,506089,437331
17,PRAKASAM,670553,847508,62151,61573,35702,22314,3066,3264,92543,99036,27638,13664,217435,199851
18,NELLORE,457015,478919,133088,105315,149539,98252,18148,17644,43979,50888,10274,9250,348339,281348
19,KADAPA,441306,542399,41235,26619,16408,9540,12290,9213,120506,106363,1417,1874,188751,153609
20,KURNOOL,632902,1050086,119649,128673,13579,12993,16914,24848,40138,47774,11893,15164,196263,229453
21,ANANTHAPUR,727951,1278010,24963,27916,8027,4670,5692,5891,109015,124936,1006,1002,142799,164416
22,CHITTOOR,667182,626306,16656,12281,43847,19231,43923,27451,162087,115725,2428,2943,256392,177632
,,,,,,,,,,,,,,,
