,,Total Holdings,,canals ,,tanks ,,wells ,,tubewells,,other sources ,,,
,District Name,Number,Area,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,No. of Holdings,Area Irrigated,Exclusive Number of Holdings Receiving Irrigation,Total Net Irrigated Area
1,ADILABAD,111340,187245,2307,1821,2021,1332,1917,1925,1265,1253,23,134,7374,6464
2,NIZAMABAD,38982,33612,11126,7805,2165,991,563,376,11274,9568,10,77,24686,18817
3,KARIMNAGAR,19332,16651,3178,1834,3113,1884,6333,5193,228,154,15,89,11839,9153
4,MEDAK,35100,36362,194,77,1892,1000,430,222,10236,6822,10,60,12000,8182
5,RANGAREDDY,29498,32328,576,433,857,508,816,499,6788,5344,22,134,8974,6918
6,MAHABUBNAGAR,90948,97770,2645,1972,2159,1652,942,564,16691,13019,26,250,22279,17458
7,NALGONDA,84584,84019,15362,10370,4259,2930,2393,1596,16392,10732,32,160,37461,25788
8,WARANGAL,106316,102576,1308,1477,14686,10629,48780,41901,3205,1986,116,667,67028,56659
9,KHAMMAM,156327,180118,9744,7607,30045,21063,9036,7342,9088,9946,52,264,56450,46222
10,SRIKAKULAM,36050,26845,6397,3322,6792,3757,159,76,54,21,1073,527,14412,7701
11,VIZIANAGARAM,39185,36850,1193,732,6196,3947,140,69,301,297,2473,2248,10099,7293
12,VISAKHAPATNAM,108507,174416,3230,2232,4861,2649,412,302,135,108,44774,39091,53280,44383
13,EAST GODAVARI,43952,81435,3655,1590,9255,11922,47,20,763,933,1417,1100,15035,15565
14,WEST GODAVARI,20810,24157,910,359,1561,1374,64,27,9232,11561,547,493,12298,13815
15,KRISHNA,12631,9287,3485,1963,1697,814,201,109,1152,644,441,278,6954,3809
16,GUNTUR,21028,18891,5999,3859,1521,989,67,45,5582,5891,574,418,13727,11201
17,PRAKASAM,13818,12384,2066,1466,867,456,18,8,2192,2030,513,220,5621,4180
18,NELLORE,24706,14318,7104,3225,8845,3858,1291,883,1943,1254,991,372,19844,9592
19,KADAPA,8527,7573,506,287,1090,517,124,75,1564,952,33,31,3306,1863
20,KURNOOL,12331,16423,1495,999,606,455,398,527,867,884,136,173,3457,3039
21,ANANTHAPUR,29469,42531,164,118,264,238,215,197,3176,3425,13,14,3744,3992
22,CHITTOOR,16039,12322,783,385,2084,901,661,280,2347,1330,38,34,5747,2930
,,,,,,,,,,,,,,,
