,,,,Number of Wells,,,,,,,
,,,,in Use,,,,,,,
,,Total Holdings,,With Pumpsets,,,,,Number of Tubewells,,
,district,Number,Area,Electric,Diesel,Total,Without Pumpsets,Not in Use,Electric,Diesel,Total
1,ADILABAD,111340,187245,5161,273,5434,137,80,1144,10,1154
2,NIZAMABAD,38982,33612,740,0,740,0,0,12267,0,12267
3,KARIMNAGAR,19332,16651,7980,21,8001,11,65,74,4,78
4,MEDAK,35100,36362,1258,39,1297,21,107,8123,97,8220
5,RANGAREDDY,29498,32328,247,13,260,0,1279,8636,11,8647
6,MAHABUBNAGAR,90948,97770,3409,87,3496,0,100,16459,203,16662
7,NALGONDA,84584,84019,2961,46,3007,189,112,17090,169,17259
8,WARANGAL,106316,102576,28674,309,28983,2,25,121,9,130
9,KHAMMAM,156327,180118,8734,149,8883,20,8,7109,530,7639
10,SRIKAKULAM,36050,26845,46,176,222,10,0,0,12,12
11,VIZIANAGARAM,39185,36850,80,36,116,23,0,220,0,220
12,VISAKHAPATNAM,108507,174416,330,73,403,91,0,116,55,171
13,EAST GODAVARI,43952,81435,9,0,9,0,0,217,0,217
14,WEST GODAVARI,20810,24157,0,0,0,0,0,10271,0,10271
15,KRISHNA,12631,9287,341,37,378,0,0,517,8,525
16,GUNTUR,21028,18891,0,0,0,19,2,2217,0,2217
17,PRAKASAM,13818,12384,140,1,141,0,2,1471,0,1471
18,NELLORE,24706,14318,925,2,927,125,3,1748,5,1753
19,KADAPA,8527,7573,116,12,128,0,26,476,28,504
20,KURNOOL,12331,16423,182,0,182,0,24,850,2,852
21,ANANTHAPUR,29469,42531,273,0,273,0,143,2605,0,2605
22,CHITTOOR,16039,12322,358,0,358,39,270,1312,0,1312
,,,,,,,,,,,
