state_code,dist_code,district,year,projcode,finan_outlay,num_proj
28,532,ADILABAD,2012-13,AMEC,13.2576,8
28,532,ADILABAD,2012-13,ANHB,3.8973,7
28,532,ADILABAD,2012-13,CROP,1.0958,1
28,532,ADILABAD,2012-13,DDEV,0.46,1
28,532,ADILABAD,2012-13,FISH,0.122,3
28,532,ADILABAD,2012-13,MRKT,2.3,1
28,532,ADILABAD,2012-13,ORFM,0.675,1
28,532,ADILABAD,2012-13,SEED,1.0768,2
28,532,ADILABAD,2012-13,SERI,0.0511,2
28,532,ADILABAD,2014-15,AMEC,2.471,11
28,532,ADILABAD,2014-15,ANHB,0.395,1
28,532,ADILABAD,2014-15,DDEV,0.0901,1
28,532,ADILABAD,2014-15,HORT,1.423,6
28,532,ADILABAD,2014-15,MRKT,0.368,1
28,532,ADILABAD,2014-15,NONF,0.4,1
28,532,ADILABAD,2014-15,ORFM,0.5453,10
28,532,ADILABAD,2014-15,OTHR,0.058,1
28,532,ADILABAD,2014-15,SEED,9.8,1
28,532,ADILABAD,2014-15,SERI,0.104,1
28,533,NIZAMABAD,2012-13,AMEC,16.2273,8
28,533,NIZAMABAD,2012-13,ANHB,4.0003,7
28,533,NIZAMABAD,2012-13,DDEV,1.95,2
28,533,NIZAMABAD,2012-13,FISH,0.0994,2
28,533,NIZAMABAD,2012-13,ORFM,0.4575,1
28,533,NIZAMABAD,2012-13,SEED,1.5474,2
28,533,NIZAMABAD,2012-13,SERI,0.033,1
28,533,NIZAMABAD,2014-15,AMEC,6.342,14
28,533,NIZAMABAD,2014-15,ANHB,0.6942,2
28,533,NIZAMABAD,2014-15,DDEV,1.6704,3
28,533,NIZAMABAD,2014-15,HORT,2.0457,8
28,533,NIZAMABAD,2014-15,MRKT,0.221,1
28,533,NIZAMABAD,2014-15,NONF,0.005,1
28,533,NIZAMABAD,2014-15,ORFM,0.5453,10
28,533,NIZAMABAD,2014-15,OTHR,0.055,1
28,533,NIZAMABAD,2014-15,SEED,7.2,1
28,534,KARIMNAGAR,2012-13,AMEC,17.5451,6
28,534,KARIMNAGAR,2012-13,ANHB,5.1311,7
28,534,KARIMNAGAR,2012-13,DDEV,1.15,1
28,534,KARIMNAGAR,2012-13,FISH,0.272,4
28,534,KARIMNAGAR,2012-13,MRKT,5,1
28,534,KARIMNAGAR,2012-13,ORFM,0.4575,1
28,534,KARIMNAGAR,2012-13,SEED,1.1868,2
28,534,KARIMNAGAR,2012-13,SERI,0.1004,3
28,534,KARIMNAGAR,2014-15,AMEC,8.435,13
28,534,KARIMNAGAR,2014-15,ANHB,0.46,1
28,534,KARIMNAGAR,2014-15,DDEV,0.045,1
28,534,KARIMNAGAR,2014-15,HORT,1.3235,7
28,534,KARIMNAGAR,2014-15,MRKT,0.22,1
28,534,KARIMNAGAR,2014-15,NONF,0.035,1
28,534,KARIMNAGAR,2014-15,ORFM,0.5453,10
28,534,KARIMNAGAR,2014-15,OTHR,0.035,1
28,534,KARIMNAGAR,2014-15,SERI,0.052,1
28,535,MEDAK,2012-13,AMEC,13.2026,8
28,535,MEDAK,2012-13,ANHB,4.7507,7
28,535,MEDAK,2012-13,CROP,2.1452,1
28,535,MEDAK,2012-13,DDEV,2.75,2
28,535,MEDAK,2012-13,FISH,0.0994,2
28,535,MEDAK,2012-13,MRKT,3,1
28,535,MEDAK,2012-13,ORFM,0.4275,1
28,535,MEDAK,2012-13,SEED,1.1368,2
28,535,MEDAK,2012-13,SERI,0.0848,2
28,535,MEDAK,2014-15,AMEC,6.195,15
28,535,MEDAK,2014-15,ANHB,1.6038,2
28,535,MEDAK,2014-15,DDEV,1.3566,3
28,535,MEDAK,2014-15,HORT,7.886,10
28,535,MEDAK,2014-15,IRRI,0.2,1
28,535,MEDAK,2014-15,MRKT,0.012,1
28,535,MEDAK,2014-15,NONF,0.15,1
28,535,MEDAK,2014-15,ORFM,0.5453,10
28,535,MEDAK,2014-15,OTHR,0.055,1
28,535,MEDAK,2014-15,SEED,1.87,1
28,536,HYDERABAD,2012-13,DDEV,0.5,1
28,536,HYDERABAD,2012-13,FISH,0.015,1
28,536,HYDERABAD,2012-13,MRKT,6,1
28,536,HYDERABAD,2014-15,DDEV,3,1
28,536,HYDERABAD,2014-15,IPMT,0.03,1
28,536,HYDERABAD,2014-15,ORFM,0.09,2
28,537,RANGAREDDY,2012-13,AMEC,7.2373,5
28,537,RANGAREDDY,2012-13,ANHB,3.9033,7
28,537,RANGAREDDY,2012-13,DDEV,2.3,1
28,537,RANGAREDDY,2012-13,FISH,0.1195,3
28,537,RANGAREDDY,2012-13,NRM,2.222,1
28,537,RANGAREDDY,2012-13,ORFM,1.0125,1
28,537,RANGAREDDY,2012-13,SEED,0.9321,1
28,537,RANGAREDDY,2012-13,SERI,0.0835,2
28,537,RANGAREDDY,2014-15,AMEC,3.572,12
28,537,RANGAREDDY,2014-15,ANHB,0.345,1
28,537,RANGAREDDY,2014-15,FINM,0.27,1
28,537,RANGAREDDY,2014-15,HORT,6.2144,10
28,537,RANGAREDDY,2014-15,IPMT,0.12,1
28,537,RANGAREDDY,2014-15,IRRI,0.08,1
28,537,RANGAREDDY,2014-15,MRKT,0.653,1
28,537,RANGAREDDY,2014-15,NONF,0.125,1
28,537,RANGAREDDY,2014-15,ORFM,0.5367,10
28,537,RANGAREDDY,2014-15,OTHR,0.255,2
28,538,MAHBUBNAGAR,2012-13,AMEC,15.3726,9
28,538,MAHBUBNAGAR,2012-13,ANHB,7.6964,7
28,538,MAHBUBNAGAR,2012-13,CROP,0.6996,1
28,538,MAHBUBNAGAR,2012-13,DDEV,2.75,2
28,538,MAHBUBNAGAR,2012-13,FISH,0.187,3
28,538,MAHBUBNAGAR,2012-13,ORFM,0.45,1
28,538,MAHBUBNAGAR,2012-13,SEED,1.416,2
28,538,MAHBUBNAGAR,2012-13,SERI,0.0835,2
28,538,MAHBUBNAGAR,2014-15,AMEC,7.565,14
28,538,MAHBUBNAGAR,2014-15,ANHB,1.3223,2
28,538,MAHBUBNAGAR,2014-15,DDEV,2.281,3
28,538,MAHBUBNAGAR,2014-15,HORT,5.6348,11
28,538,MAHBUBNAGAR,2014-15,IRRI,0.13,1
28,538,MAHBUBNAGAR,2014-15,MRKT,0.221,1
28,538,MAHBUBNAGAR,2014-15,NONF,0.25,1
28,538,MAHBUBNAGAR,2014-15,ORFM,0.5453,10
28,538,MAHBUBNAGAR,2014-15,OTHR,0.055,1
28,539,NALGONDA,2012-13,AMEC,12.2198,7
28,539,NALGONDA,2012-13,ANHB,5.8806,7
28,539,NALGONDA,2012-13,DDEV,0.69,1
28,539,NALGONDA,2012-13,FISH,0.1655,3
28,539,NALGONDA,2012-13,NRM,2.222,1
28,539,NALGONDA,2012-13,ORFM,1.0425,1
28,539,NALGONDA,2012-13,SEED,1.2021,2
28,539,NALGONDA,2012-13,SERI,0.3023,2
28,539,NALGONDA,2014-15,AMEC,7.45,12
28,539,NALGONDA,2014-15,ANHB,0.525,1
28,539,NALGONDA,2014-15,HORT,3.6373,9
28,539,NALGONDA,2014-15,IRRI,0.15,1
28,539,NALGONDA,2014-15,MRKT,0.331,1
28,539,NALGONDA,2014-15,NONF,0.025,1
28,539,NALGONDA,2014-15,ORFM,0.5453,10
28,539,NALGONDA,2014-15,OTHR,0.028,1
28,539,NALGONDA,2014-15,SEED,2,1
