state_code,district_code,year,work_code,labor_exp_disb,material_exp_disb,labor_exp_pend,material_exp_pend,amt_sanc,total_works,no_blocks,no_blocks_summmarized
28,532,2012,9,13247.71,772.44,13247.92,772.44,7823720011,147799,52,52
28,532,2012,7,679.06,1.31,679.06,1.31,188381615,769,52,31
28,532,2012,4,861.95,0,861.95,0,765933645,7271,52,52
28,532,2013,1,919.07,650.73,948.3,650.73,2278758966,73730,52,52
28,532,2011,3,45.98,17.41,45.98,17.41,70405736.62,630,52,41
28,532,2012,6,1663.01,531.25,1663.21,531.25,3956217440,105872,52,52
28,532,2011,4,316.04,0.48,316.04,0.48,127234605.1,1982,52,49
28,532,2011,5,216.03,3.11,216.03,3.11,103415158.4,1962,52,33
28,532,2012,3,38.43,3.69,38.43,3.69,90514319,1088,52,44
28,532,2012,2,0,0,0,0,0,0,52,0
28,532,2012,5,298.01,11.3,298.01,11.3,143301909,3246,52,39
28,532,2011,6,111.29,20.43,111.29,20.43,822990240.2,13704,52,52
28,532,2011,2,0,0,0,0,0,0,52,0
28,532,2013,8,0,0,0,0,0,0,52,0
28,532,2011,7,420,0.23,420,0.23,188943900.6,654,52,20
28,532,2012,8,0,0,0,0,0,0,52,0
28,532,2012,1,1563.67,563.73,1563.81,563.73,2831120306,71982,52,52
28,532,2011,8,0,0,0,0,0,0,52,0
28,532,2011,9,11022.76,245.23,11022.76,245.23,6106419359,111414,52,52
28,532,2011,1,652.49,500.08,652.49,500.08,1088129954,26403,52,52
28,532,2013,6,7364.73,1652.86,7429.4,1652.86,5194535028,129729,52,52
28,532,2013,2,0.92,0,0.92,0,258018,3,52,3
28,532,2013,7,122.8,1.66,128.97,1.66,114462959,892,52,43
28,532,2013,9,5328.54,76.37,5412.93,76.37,3789451844,145143,52,52
28,532,2013,5,249.73,1.52,251.48,1.52,97219258,4130,52,43
28,532,2013,4,4017.01,20.75,4113.4,20.75,1598272411,11564,52,52
28,532,2013,3,69.87,3.87,71.46,3.87,43234925,1356,52,46
28,534,2013,9,2005.93,72.2,2086.54,72.2,1369518112,146486,57,57
28,534,2013,1,2680.26,286.69,2813.45,286.69,2907783426,135080,57,57
28,534,2013,4,200.3,9.24,211.74,9.24,100618302,3070,57,57
28,534,2013,7,248.61,2.66,253.66,2.66,155982239,615,57,52
28,534,2012,6,442.42,255.63,442.42,255.63,1555211428,146181,57,57
28,534,2013,3,135.72,11.75,146.02,11.75,116734751,5300,57,57
28,534,2012,5,1842.66,66.17,1842.66,66.17,882198219,20314,57,57
28,534,2013,6,445.73,199.78,461.56,199.81,386327755,145641,57,57
28,534,2012,7,170.86,27.71,170.86,27.71,171217486,7728,57,57
28,534,2013,2,168.25,0,169.17,0,41146326,457,57,49
28,534,2011,9,2572.32,187.67,2572.32,187.67,2926102608,116765,57,57
28,534,2012,9,2839.63,1467.29,2839.63,1467.29,3581598783,146789,57,57
28,534,2013,5,2477.69,9.24,2583.82,9.24,969613590,34694,57,57
28,534,2012,1,2228.42,295.77,2228.42,295.77,3284418775,112687,57,57
28,534,2011,4,92.81,22.85,92.81,22.85,98751451,1112,57,54
28,534,2013,8,0,0,0,0,0,0,57,0
28,534,2012,2,1.43,0,1.43,0,31350195,189,57,33
28,534,2012,3,192.45,32.1,192.45,32.1,321998952,2792,57,57
28,534,2011,5,3108.31,5,3108.31,5,983440183.8,22259,57,57
28,534,2011,6,175.56,72.77,175.56,72.77,1224571505,23373,57,57
28,534,2011,8,0,0,0,0,0,0,57,0
28,534,2011,1,1044.21,707.14,1044.21,707.26,1285244484,39954,57,57
28,534,2012,8,0,0,0,0,0,0,57,0
28,534,2011,3,183.93,43.3,183.93,43.3,245160347.5,1985,57,56
28,534,2012,4,25.59,3.13,25.59,3.13,119013525,1616,57,55
28,534,2011,7,287.65,20.12,287.65,20.12,36380547.17,81,57,40
28,534,2011,2,0,0,0,0,0,0,57,0
28,541,2013,8,0,0,0,0,0,7,46,2
28,541,2012,9,8786.53,740.14,8786.53,740.14,4123851494,105381,46,46
28,541,2013,3,406.64,31.91,406.86,31.91,243400659,3767,46,44
28,541,2013,2,61.01,0,61.01,0,9948644,118,46,23
28,541,2012,5,1956.37,62.7,1956.37,62.7,470682668,12873,46,44
