state_code,district_code,district,hhs_app_job,job_cards_issued,job_cards_sc,job_cards_st,job_cards_others,hhs_dd_work,persons_dd_work,hhs_allot_work,persons_allot_work,muster_roll_filled,hhs_worked,persons_worked,hhs_100_day_reach,persons_disability,hhs_worked_others,person_days_others,hhs_worked_sc,person_days_sc,hhs_worked_st,person_days_st,iay_hhs,person_days_women,total_person_days,sc_hhs_over_100_day,st_hhs_over_100_day,year,tot_bank_accounts,ind_banl_ac,joint_bank_ac,amt_disbursed_to_bank_ac,tot_post_of_ac,tot_ind_post_off_ac,tot_joint_post_off_ac,amt_disburse_post_office_ac,a18_30_years,a30_40_years,a40_50_years,a50_60_years,gr_60,b1__10_person_pd,b10_20_person_pd,b20_30_pd,b30_40_pd,b40_50_pd,b50_60_pd,b60_70_pd,b70_80_pd,b80_99_pd,b100_pd,bge_100_pd,bge_140_pd
28,532,Adilabad,463219,463219,106828,135365,221026,0,0,0,0,184741,212281,426594,40904,3726,85303,4480886,53729,3147877,73249,5192238,57287,6813171,12821001,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,533,Nizamabad,407834,407834,90756,45334,271744,0,0,0,0,127163,172433,323155,20957,3251,106798,4456207,44072,2192634,21563,1525186,63025,5023811,8174027,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,534,Karimnagar,596838,596838,170548,27117,399173,0,0,0,0,165159,250535,420544,17459,6413,156591,5422530,80231,3259250,13713,621404,69974,6254816,9303184,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,535,Medak,468136,468136,123104,35995,309037,0,0,0,0,154526,194175,385537,34519,2672,121781,6446179,58788,3710588,13606,896942,72758,6487949,11053709,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,537,Rangareddy,275638,275638,80883,26726,168029,0,0,0,0,148796,112807,238800,37164,2227,63965,4718214,36776,3262053,12066,1332324,36604,5098515,9312591,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,538,Mahbubnagar,714722,714722,161469,70086,483167,0,0,0,0,284358,274284,524589,53543,4682,180911,10486989,68060,4307481,24832,2084183,96325,10100054,16878653,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,539,Nalgonda,747381,747381,163992,104044,479345,0,0,0,0,287192,356588,617582,44225,7454,222346,9889201,82309,4073433,51933,3497953,135700,11351775,17460587,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,540,Warangal,645338,645338,143686,129248,372404,0,0,0,0,171792,302720,603285,33415,5442,176807,7688649,71340,3540858,54573,3007518,122762,8707966,14237025,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,541,Khammam,561326,561326,111274,207631,242421,0,0,0,0,159151,208190,380064,35397,3532,70140,2918802,42061,1881429,95989,6795406,53740,6640974,11595637,0,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,532,Adilabad,590921,590921,135210,163806,291905,0,0,0,0,253130,269553,540732,68216,5891,119023,7228584,64156,4147577,86374,6601768,70988,9686040,17977929,15126,27848,2012,0,0,0,0,513547,513547,0,1289186723,67473,177741,156437,100657,38424,21723,28785,27471,23532,22203,20445,16776,15628,24774,1315,66901,234607
28,533,Nizamabad,456097,456097,99656,50659,305782,0,0,0,0,102198,220271,413334,27597,5412,141350,7065990,51809,2776684,27112,1774003,79347,7133701,11616677,6727,5879,2012,0,0,0,0,633650,633649,1,1271358528,46095,125169,122042,85984,34044,21793,25516,26183,25770,23826,19843,15939,13285,20519,1107,26490,188265
28,534,Karimnagar,723187,723187,197980,30957,494250,0,0,0,0,258383,281215,476828,11063,7866,184127,5716118,83104,2789703,13984,537625,77273,5960124,9043446,3527,936,2012,0,0,0,0,4394,4394,0,98730,41403,130759,149566,106675,48425,63028,65514,42978,31450,21985,15711,11124,8165,10197,431,10632,191557
28,535,Medak,596945,596945,157839,47420,391686,0,0,0,0,138788,225312,443490,25215,4175,145600,6961545,63912,3266782,15800,819727,81539,6396054,11048054,7873,2068,2012,0,0,0,0,316148,316148,0,498598878,44575,137913,135096,91985,33921,29356,31334,27910,24437,22339,18438,14822,12527,18934,973,24242,181955
28,537,Rangareddy,320664,320664,92216,32111,196337,0,0,0,0,137549,126311,259798,23255,3269,73852,4287181,39424,2403022,13035,837441,39780,4167159,7527644,7708,2850,2012,0,0,0,0,843,843,0,609363,31888,83330,76377,48265,19938,11196,15302,12240,11400,11516,10589,9168,8180,13465,684,22571,108958
28,538,Mahbubnagar,965916,965916,217664,99041,649211,0,0,0,0,278016,338598,647819,56721,6253,232081,13119853,78661,4397993,27856,1802665,113263,11448459,19320511,12910,6109,2012,0,0,0,0,437081,437065,16,810826214,65861,201384,189388,133855,58283,35011,39537,37925,34693,31858,29092,23429,19797,30535,1613,55108,286436
28,539,Nalgonda,839729,839729,181179,114285,544265,0,0,0,0,297641,439006,789555,56458,12309,276488,14194642,98621,5188600,63897,4057800,162719,15038258,23441042,12159,12606,2012,0,0,0,0,1045950,1045941,9,2513910125,71735,223059,219633,180601,94527,37464,49844,54589,53584,49099,40879,32268,26667,38154,1884,54574,381438
28,540,Warangal,745095,745095,163105,155641,426349,0,0,0,0,223572,340287,672306,28922,7304,202623,8802467,73780,3222865,63884,3200593,138301,9212230,15225925,6044,7197,2012,0,0,0,0,361214,361214,0,621123111,64551,198064,194545,147516,67630,41643,54865,51516,43194,35062,27659,20218,16000,21208,895,28027,275890
28,541,Khammam,668510,668510,132080,240639,295791,0,0,0,0,172944,294850,551284,42243,5775,114486,5452549,58949,2847296,121415,7691431,75419,9250972,15991276,5967,25127,2012,0,0,0,0,80262,80203,59,110835405,60525,178821,159529,104362,48047,27902,36157,36142,34152,30495,24824,20223,17040,25672,1282,40961,253576
28,532,Adilabad,628979,628979,142038,170805,316136,329315,675109,328130,672845,443777,293048,571793,41336,6249,134509,6788527,67553,3673541,90986,5896180,73795,8745868,16358248,8383,19212,2013,0,0,0,0,461921,461921,0,1271097379,68548,182929,168282,108556,43478,41336,39898,30752,28149,26277,24029,19906,19995,40420,3472,37864,256419
28,533,Nizamabad,473850,473850,102671,52348,318831,263527,523267,263441,523081,354363,229943,415733,18566,6994,147821,6524186,53596,2493799,28526,1598580,79180,6564185,10616565,4400,4078,2013,0,0,0,0,507941,507941,0,931068687,40902,124451,124075,88480,37825,18566,35295,29925,27394,23564,19518,15608,13092,21631,1829,16737,191939
28,534,Karimnagar,740470,740470,201200,31486,507784,316847,563938,315762,561938,536510,291624,489757,14826,8812,194174,6762177,83767,3138110,13683,548689,79714,6852111,10448976,4774,858,2013,0,0,0,0,1,1,0,0,32037,132169,155001,113562,56987,14826,63363,43497,32755,23647,17617,12942,10662,16602,1299,13527,212268
28,535,Medak,626884,626884,163052,49569,414263,277346,563609,274208,556682,364176,239070,447827,17819,5277,154964,6678948,66686,3121941,17420,829444,80425,6156249,10630333,5987,1692,2013,0,0,0,0,258535,258535,0,386360366,41106,134621,138151,95914,38034,17819,40829,30230,26007,22389,19110,15435,13705,22102,1884,15935,192354
