state_code,district,district_code,area,no_hh,tot_p,tot_m,tot_f,p_06,m_06,f_06,p_sc,m_sc,f_sc,p_st,m_st,f_st,p_lit,m_lit,f_lit,p_ill,m_ill,f_ill,tot_work_p,tot_work_m,tot_work_f,mainwork_p,mainwork_m,mainwork_f,main_cl_p,main_cl_m,main_cl_f,main_al_p,main_al_m,main_al_f,main_hh_p,main_hh_m,main_hh_f,main_ot_p,main_ot_m,main_ot_f,margwork_p,margwork_m,margwork_f,marg_cl_p,marg_cl_m,marg_cl_f,marg_al_p,marg_al_m,marg_al_f,marg_hh_p,marg_hh_m,marg_hh_f,marg_ot_p,marg_ot_m,marg_ot_f,margwork_3_6_p,margwork_3_6_m,margwork_3_6_f,marg_cl_3_6_p,marg_cl_3_6_m,marg_cl_3_6_f,marg_al_3_6_p,marg_al_3_6_m,marg_al_3_6_f,marg_hh_3_6_p,marg_hh_3_6_m,marg_hh_3_6_f,marg_ot_3_6_p,marg_ot_3_6_m,marg_ot_3_6_f,margwork_0_3_p,margwork_0_3_m,margwork_0_3_f,marg_cl_0_3_p,marg_cl_0_3_m,marg_cl_0_3_f,marg_al_0_3_p,marg_al_0_3_m,marg_al_0_3_f,marg_hh_0_3_p,marg_hh_0_3_m,marg_hh_0_3_f,marg_ot_0_3_p,marg_ot_0_3_m,marg_ot_0_3_f,non_work_p,non_work_m,non_work_f
28,Adilabad,532,15751.3,473010,1980980,985303,995677,234207,120918,113289,368490,182451,186039,463089,231551,231538,965707,569033,396674,1015273,416270,599003,1059249,555137,504112,848114,470886,377228,338823,217051,121772,314964,146479,168485,56225,10953,45272,138102,96403,41699,211135,84251,126884,19539,9936,9603,142203,51715,90488,12054,2769,9285,37339,19831,17508,184566,73711,110855,17350,8753,8597,125321,45742,79579,9966,2140,7826,31929,17076,14853,26569,10540,16029,2189,1183,1006,16882,5973,10909,2088,629,1459,5410,2755,2655,921731,430166,491565
28,Hyderabad,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Karimnagar,534,11439.1,743421,2825044,1401950,1423094,244443,126222,118221,587484,291431,296053,92353,46204,46149,1538281,889488,648793,1286763,512462,774301,1511955,797596,714359,1270901,707118,563783,336710,213675,123035,560060,268150,291910,100936,25521,75415,273195,199772,73423,241054,90478,150576,14969,6055,8914,163726,56768,106958,16835,3545,13290,45524,24110,21414,208289,77641,130648,12598,4926,7672,142939,49466,93473,14180,2781,11399,38572,20468,18104,32765,12837,19928,2371,1129,1242,20787,7302,13485,2655,764,1891,6952,3642,3310,1313089,604354,708735
28,Khammam,541,15817.64,582970,2141459,1066781,1074678,217568,110904,106664,366888,183331,183557,709904,352019,357885,1149533,647506,502027,991926,419275,572651,1171524,627957,543567,1009020,564674,444346,208992,143165,65827,643554,300523,343031,10503,6750,3753,145971,114236,31735,162504,63283,99221,11553,5190,6363,127281,45046,82235,3297,1409,1888,20373,11638,8735,141843,54635,87208,10002,4481,5521,112429,39270,73159,2421,1029,1392,16991,9855,7136,20661,8648,12013,1551,709,842,14852,5776,9076,876,380,496,3382,1783,1599,969935,438824,531111
28,Mahbubnagar,538,18156.02,743106,3445336,1742438,1702898,456796,237506,219290,651273,327589,323684,345359,176540,168819,1521778,926165,595613,1923558,816273,1107285,1855769,983274,872495,1614202,886222,727980,539503,341566,197937,741520,302245,439275,37137,19707,17430,296042,222704,73338,241567,97052,144515,19583,9480,10103,163814,54970,108844,9861,4224,5637,48309,28378,19931,216799,86783,130016,17072,8175,8897,148747,49824,98923,8336,3572,4764,42644,25212,17432,24768,10269,14499,2511,1305,1206,15067,5146,9921,1525,652,873,5665,3166,2499,1589567,759164,830403
28,Medak,535,9327.66,504567,2305417,1152806,1152611,279477,143238,136239,461017,228175,232842,156801,80309,76492,1134489,674416,460073,1170928,478390,692538,1173399,640088,533311,967340,553573,413767,330446,210578,119868,402402,186818,215584,41219,11418,29801,193273,144759,48514,206059,86515,119544,14624,6974,7650,143732,54003,89729,10452,2839,7613,37251,22699,14552,173260,72478,100782,11460,5330,6130,122841,45904,76937,8035,2116,5919,30924,19128,11796,32799,14037,18762,3164,1644,1520,20891,8099,12792,2417,723,1694,6327,3571,2756,1132018,512718,619300
28,Nalgonda,539,13860.67,716294,2826302,1427716,1398586,303536,158158,145378,550732,276394,274338,366300,189061,177239,1515547,896996,618551,1310755,530720,780035,1496496,803377,693119,1278000,728457,549543,304859,208407,96452,673409,288192,385217,26013,16361,9652,273719,215497,58222,218496,74920,143576,12518,5023,7495,162481,46411,116070,7082,2598,4484,36415,20888,15527,191228,64361,126867,10694,4141,6553,144117,40248,103869,5700,2087,3613,30717,17885,12832,27268,10559,16709,1824,882,942,18364,6163,12201,1382,511,871,5698,3003,2695,1329806,624339,705467
28,Nizamabad,533,7825.02,465538,1962963,958837,1004126,214946,110596,104350,323425,155816,167609,185297,92056,93241,987594,573184,414410,975369,385653,589716,1039986,533617,506369,871103,459761,411342,262790,166540,96250,316810,164444,152366,130738,16995,113743,160765,111782,48983,168883,73856,95027,10175,5002,5173,111780,48941,62839,16681,3139,13542,30247,16774,13473,142685,62684,80001,8745,4258,4487,95449,42107,53342,13406,2328,11078,25085,13991,11094,26198,11172,15026,1430,744,686,16331,6834,9497,3275,811,2464,5162,2783,2379,922977,425220,497757
28,Rangareddy,537,6458.73,349140,1577569,801013,776556,192848,99495,93353,325517,163576,161941,133890,68748,65142,839187,493493,345694,738382,307520,430862,779339,442988,336351,649317,389868,259449,232121,147365,84756,226208,96153,130055,12558,8110,4448,178430,138240,40190,130022,53120,76902,13937,6744,7193,77529,25344,52185,4262,1699,2563,34294,19333,14961,114097,46765,67332,12351,5949,6402,68375,22312,46063,3243,1358,1885,30128,17146,12982,15925,6355,9570,1586,795,791,9154,3032,6122,1019,341,678,4166,2187,1979,798230,358025,440205
28,Warangal,540,12468.63,645197,2520243,1260594,1259649,246805,128789,118016,461297,230559,230738,486034,246028,240006,1337408,781417,555991,1182835,479177,703658,1351610,705002,646608,1129869,629683,500186,375957,241634,134323,547928,228604,319324,21801,12804,8997,184183,146641,37542,221741,75319,146422,16494,7177,9317,170570,48850,121720,5360,2087,3273,29317,17205,12112,196352,65437,130915,13827,5744,8083,152623,42875,109748,4321,1707,2614,25581,15111,10470,25389,9882,15507,2667,1433,1234,17947,5975,11972,1039,380,659,3736,2094,1642,1168633,555592,613041
