size_class,social_group,district_name,district_code,state_name,state_code,holding_total_no,holding_total_area,holding_in_village-in-compelete_no,holding_in_village-in-compelete_area,holding_in_village-in-partly-out-partly_no,holding_in_village-in-partly-out-partly_area,holding_in_village-out-completely_no,holding_in_village-out-completely_area,holding_out_tehsil_no,holding_out_tehsil_area
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,58,537,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,72,755,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,25,354,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,179,2717,0,0,5,14,0,0
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,145,1092,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,14,452,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,135,2235,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,7,76,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,159,2185,0,0,1,0,0,0
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,507,4017,0,0,1,16,0,0
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,101,1310,0,0,3,23,3,30
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,209,1476,0,0,2,7,0,0
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,805,3868,6,9,25,35,0,0
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,730,3220,2,7,29,62,15,156
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,25,180,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,752,7979,0,0,7,46,0,0
ALL CLASSES,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,168,2040,168,2040,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,666,6792,657,6527,0,0,5,186,4,79
ALL CLASSES,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,18,619,18,619,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,53,1619,53,1619,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,714,5821,713,5801,0,0,0,0,1,21
ALL CLASSES,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,45,2173,44,2101,1,73,0,0,0,0
ALL CLASSES,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,80294,90599,75617,84393,158,312,4519,5894,0,0
ALL CLASSES,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,62591,42530,58363,39751,470,500,3758,2280,0,0
ALL CLASSES,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,96579,61893,92796,59453,131,159,3652,2281,0,0
ALL CLASSES,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,107702,74873,104323,72498,379,395,3000,1980,0,0
ALL CLASSES,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,53045,48481,51070,46811,234,246,1741,1424,0,0
ALL CLASSES,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,129514,117957,123279,111540,254,320,5981,6098,0,0
ALL CLASSES,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,87125,63174,84832,61259,188,343,2105,1572,0,0
ALL CLASSES,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,82212,58348,80052,56920,192,206,1968,1222,0,0
ALL CLASSES,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,44552,29710,40580,26973,1066,991,2906,1746,0,0
ALL CLASSES,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,27487,10620,24571,9456,433,301,2483,863,0,0
ALL CLASSES,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,21930,11574,19684,10425,270,267,1976,882,0,0
ALL CLASSES,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10462,6143,10288,6019,36,48,138,76,0,0
ALL CLASSES,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,62363,22626,58775,21334,221,176,3367,1116,0,0
ALL CLASSES,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,48177,25490,42742,21510,421,444,5014,3536,0,0
ALL CLASSES,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,50842,27140,46120,24552,408,391,3305,1792,1009,405
ALL CLASSES,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,53256,31070,49902,29347,181,242,3173,1481,0,0
ALL CLASSES,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,73059,62154,68169,58221,402,593,3990,3083,498,256
ALL CLASSES,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,88661,53277,83972,50665,279,419,4207,1980,203,213
ALL CLASSES,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,39525,31556,34570,27462,194,278,4493,3604,268,212
ALL CLASSES,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,76496,86874,67834,76548,889,2461,7439,7561,334,302
ALL CLASSES,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,71518,88061,67008,82991,354,655,3919,4189,237,226
ALL CLASSES,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,89262,56346,81954,52555,434,434,6749,3305,125,53
ALL CLASSES,OTHERS,ADILABAD,532,TELANGANA,37,328303,450198,306457,416120,1189,3105,20657,30973,0,0
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,331865,321009,3707,7215,36310,29323,1,32
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,525977,537480,1051,2246,19381,20066,0,0
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,513504,519507,2705,5331,25348,24128,0,0
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,250135,324739,965,2764,8883,10231,0,0
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,711341,918372,3197,9260,47300,61050,0,0
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,555300,707258,2938,8630,27106,38920,0,0
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,451834,483232,1655,2607,21037,20473,0,0
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,243246,289909,4029,10892,19866,22542,157,747
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,404825,264522,16262,23778,40722,19562,16,51
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,338097,245485,12590,21869,34863,25176,69,167
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,332524,201525,4291,5910,18743,10606,0,0
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,512779,337999,6456,11009,71874,42828,454,1557
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,436141,358972,5326,9351,51575,42576,3026,6057
