size_class,social_group,district_name,district_code,state_name,state_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,76,197,273
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,373,13,385
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,149,21,171
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,949,461,1411
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,281,124,405
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,9,208,216
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,555,387,942
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,4,34,38
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,538,464,1001
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,1754,1142,2896
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,341,478,819
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,514,457,971
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,2576,730,3306
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,3213,41,3254
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,24,54,78
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,3986,1869,5855
ALL CLASSES,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,168,2040,152,875,1027
ALL CLASSES,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,666,6792,2701,1480,4181
ALL CLASSES,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,18,619,296,21,316
ALL CLASSES,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,53,1619,153,732,885
ALL CLASSES,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,714,5821,160,3801,3961
ALL CLASSES,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,45,2173,689,298,987
ALL CLASSES,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,80294,90599,10236,69978,80213
ALL CLASSES,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,62591,42530,36097,20967,57064
ALL CLASSES,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,96579,61893,46017,17582,63599
ALL CLASSES,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,107702,74873,19517,44695,64211
ALL CLASSES,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,53045,48481,6660,22491,29152
ALL CLASSES,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,129514,117957,23562,78020,101583
ALL CLASSES,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,87125,63174,28805,22452,51257
ALL CLASSES,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,82212,58348,32804,20179,52983
