size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,0,0,0,0,2,1,0,0,17,75,19,76
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,1,3,29,262,0,0,2,13,17,82,49,360
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,2,2,12,121,5,16,0,0,0,0,17,139
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,0,0,37,860,0,0,38,71,4,2,79,933
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,0,0,41,178,0,0,38,88,0,0,79,265
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,0,0,1,9,0,0,0,0,0,0,1,9
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,33,79,41,337,3,6,27,85,0,0,86,508
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,0,0,4,3,1,0,0,0,0,0,5,4
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,27,57,57,277,11,22,9,39,9,93,104,487
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,177,699,0,0,3,3,7,7,264,893,427,1602
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,3,5,0,0,1,2,15,6,75,328,79,341
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,30,27,0,0,0,0,1,1,135,482,166,510
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,379,547,0,0,1,1,43,126,362,1384,769,2059
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,340,823,0,0,0,0,96,498,316,919,747,2240
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,0,0,0,0,1,4,3,9,4,10,6,23
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,129,2155,0,0,0,0,31,174,252,1497,409,3826
ALL CLASSES,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,168,2040,1,2,0,0,0,0,4,24,22,125,27,152
ALL CLASSES,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,666,6792,136,440,0,0,6,37,34,202,387,1731,548,2410
ALL CLASSES,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,18,619,0,0,0,0,0,0,0,0,10,296,10,296
ALL CLASSES,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,53,1619,9,54,0,0,0,0,3,11,13,89,25,153
ALL CLASSES,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,714,5821,54,98,0,0,0,0,18,25,21,37,92,160
ALL CLASSES,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,45,2173,0,0,0,0,0,0,2,3,11,685,13,688
ALL CLASSES,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,80294,90599,3132,2075,5817,2982,3148,2673,1786,1514,204,156,13516,9400
ALL CLASSES,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,62591,42530,13464,5846,4923,1845,819,382,20381,13549,1072,603,37177,22225
ALL CLASSES,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,96579,61893,20911,8106,5304,2153,37830,26373,840,674,969,841,60182,38148
ALL CLASSES,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,107702,74873,874,315,6016,1646,2669,1372,21312,12531,738,630,30814,16495
ALL CLASSES,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,53045,48481,332,88,507,104,1726,1041,7781,4044,176,408,10230,5685
ALL CLASSES,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,129514,117957,6271,4298,1999,771,1011,673,17843,14872,1282,1139,28113,21752
ALL CLASSES,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,87125,63174,14005,7293,2579,872,3729,2318,16001,8971,714,1029,36447,20483
ALL CLASSES,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,82212,58348,231,185,8285,4149,33863,21413,1751,942,853,1364,44193,28053
ALL CLASSES,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,44552,29710,10982,5306,6473,3127,2837,1885,2082,1318,2280,1805,23965,13440
ALL CLASSES,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,27487,10620,12644,3901,5207,1736,155,47,541,229,331,323,18732,6237
ALL CLASSES,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,21930,11574,2143,962,7746,2684,1161,403,287,227,419,469,11438,4743
ALL CLASSES,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10462,6143,2648,1009,3810,1556,541,227,125,52,316,321,7390,3164
ALL CLASSES,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,62363,22626,30247,9140,3314,1354,205,102,5886,1894,1142,816,40237,13305
ALL CLASSES,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,48177,25490,16570,6150,4321,1962,463,112,22397,13494,1114,1132,44779,22851
ALL CLASSES,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,50842,27140,26029,11341,3897,1582,206,136,5811,3002,2062,1613,37805,17674
ALL CLASSES,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,53256,31070,27096,13419,472,198,297,135,5745,3487,1646,1881,35240,19119
ALL CLASSES,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,73059,62154,5240,2980,4917,1720,373,343,10174,8570,1497,1021,22002,14635
ALL CLASSES,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,88661,53277,25613,11791,32686,14074,3603,2359,6603,4556,1747,1154,69639,33935
ALL CLASSES,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,39525,31556,3087,1313,1105,504,585,350,11849,7867,235,270,16734,10303
ALL CLASSES,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,76496,86874,15540,11326,1774,1209,1901,1752,3984,3532,1849,1930,24597,19750
ALL CLASSES,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,71518,88061,2492,1879,193,68,287,190,6607,5470,55,70,9378,7677
ALL CLASSES,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,89262,56346,5092,2648,7885,2776,6826,3472,14642,7376,577,579,33984,16852
ALL CLASSES,OTHERS,ADILABAD,532,TELANGANA,37,328303,450198,18731,16190,24199,14285,16024,16681,14280,15537,12,105,69093,62798
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,81607,56145,22864,13527,4971,3394,126534,117424,50,341,220644,190831
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,123779,74686,28937,20222,267739,264603,8013,9501,3306,5183,383568,374195
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,6235,2138,30466,12980,14703,10112,147424,118202,4929,3616,195026,147048
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,4172,3517,3453,1460,9444,7284,57288,41537,782,934,73155,54732
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,46103,46678,9871,7520,7905,8026,153250,162965,16445,16924,229231,242112
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,114483,103662,14795,8696,36419,32946,139213,121104,5257,5817,298227,272225
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,5339,7824,57522,40227,231800,207134,13040,12227,5839,4880,305963,272290
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,67810,61271,43482,35864,26401,29748,20866,24889,13376,11708,159914,163480
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,238891,148555,98133,52272,9015,4494,7836,5252,6452,3902,354504,214475
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,49312,32230,197590,85875,18819,8902,13873,13496,1546,1859,266028,142363
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,108230,53303,115108,52049,18322,7370,15305,6410,5514,3559,256840,122692
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,317644,170424,49339,36348,1545,1223,81785,61537,12199,8856,453522,278388
