size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly_irri_no,holding_whly_irri_ar,holding_whly_rain_no,holding_whly_rain_ar,holding_prtly_irri_no,holding_prtly_irri_tot-ar,holding_prtly_irri_irri-ar,holding_recve_irri_no,holding_recve_irri_irri-ar
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,19,76,36,197,0,0,0,19,76
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,48,358,9,7,1,8,2,49,360
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,13,122,7,9,4,30,17,17,139
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,54,919,88,449,25,24,14,79,933
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,48,195,31,97,31,97,70,79,265
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,1,9,12,207,0,0,0,1,9
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,62,399,43,320,24,166,108,86,508
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,5,4,2,34,0,0,0,5,4
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,93,435,49,351,11,165,53,104,487
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,334,1110,64,412,93,999,492,427,1602
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,49,253,21,84,30,401,87,79,341
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,162,503,45,448,4,16,6,166,510
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,727,1978,67,529,42,124,81,769,2059
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,745,2233,16,26,2,22,7,747,2240
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,4,15,18,48,2,13,8,6,23
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,376,3502,325,1737,33,372,324,409,3826
ALL CLASSES,INSTITUTIONAL,PRAKASAM,549,ANDHRA PRADESH,36,168,2040,15,101,140,683,12,232,50,27,152
ALL CLASSES,INSTITUTIONAL,NELLORE,550,ANDHRA PRADESH,36,666,6792,542,2363,94,1420,6,97,47,548,2410
ALL CLASSES,INSTITUTIONAL,KADAPA,551,ANDHRA PRADESH,36,18,619,10,296,6,21,0,0,0,10,296
ALL CLASSES,INSTITUTIONAL,KURNOOL,552,ANDHRA PRADESH,36,53,1619,23,144,28,719,2,17,9,25,153
ALL CLASSES,INSTITUTIONAL,ANANTHAPUR,553,ANDHRA PRADESH,36,714,5821,29,90,604,3186,63,467,70,92,160
ALL CLASSES,INSTITUTIONAL,CHITTOOR,554,ANDHRA PRADESH,36,45,2173,11,685,29,291,2,10,3,13,688
ALL CLASSES,SCHEDULED CASTE,ADILABAD,532,TELANGANA,37,80294,90599,11423,7324,58896,67599,2093,4034,2076,13516,9400
ALL CLASSES,SCHEDULED CASTE,NIZAMABAD,533,TELANGANA,37,62591,42530,33896,20118,16938,12265,3281,4118,2107,37177,22225
ALL CLASSES,SCHEDULED CASTE,KARIMNAGAR,534,TELANGANA,37,96579,61893,52732,31965,24361,13987,7450,8752,6182,60182,38148
ALL CLASSES,SCHEDULED CASTE,MEDAK,535,TELANGANA,37,107702,74873,20282,11913,58338,36776,10532,9280,4581,30814,16495
ALL CLASSES,SCHEDULED CASTE,RANGAREDDY,537,ANDHRA PRADESH,36,53045,48481,6697,4015,25519,19635,3533,3741,1669,10230,5685
ALL CLASSES,SCHEDULED CASTE,MAHABUBNAGAR,538,TELANGANA,37,129514,117957,18461,14739,78947,66949,9652,15659,7013,28113,21752
ALL CLASSES,SCHEDULED CASTE,NALGONDA,539,TELANGANA,37,87125,63174,29505,16370,23815,16596,6942,8775,4113,36447,20483
ALL CLASSES,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,82212,58348,37926,23028,26671,15712,6267,9119,5025,44193,28053
ALL CLASSES,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,44552,29710,21579,11839,16915,11332,2386,3131,1601,23965,13440
ALL CLASSES,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,27487,10620,17366,5581,7585,2942,1366,1030,656,18732,6237
ALL CLASSES,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,21930,11574,7849,3343,10014,4462,3589,2560,1400,11438,4743
ALL CLASSES,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,10462,6143,5599,2587,3072,1878,1791,1195,577,7390,3164
ALL CLASSES,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,62363,22626,34391,11046,21846,6191,5846,3704,2260,40237,13305
ALL CLASSES,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,48177,25490,44690,22796,2966,1271,89,109,55,44779,22851
ALL CLASSES,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,50842,27140,36569,16971,12226,7300,1236,1436,703,37805,17674
ALL CLASSES,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,53256,31070,34903,18863,15519,8159,337,473,257,35240,19119
ALL CLASSES,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,73059,62154,19269,12642,43597,31527,2733,4110,1993,22002,14635
ALL CLASSES,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,88661,53277,66904,33186,10872,8677,2735,1514,748,69639,33935
ALL CLASSES,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,39525,31556,15637,9685,10895,9076,1097,1445,618,16734,10303
ALL CLASSES,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,76496,86874,21693,17474,47943,55345,2904,5540,2276,24597,19750
ALL CLASSES,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,71518,88061,5981,5392,57485,66105,3397,6162,2285,9378,7677
ALL CLASSES,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,89262,56346,28342,13746,32691,17221,5642,6259,3106,33984,16852
ALL CLASSES,OTHERS,ADILABAD,532,TELANGANA,37,328303,450198,53464,42647,234218,319583,15629,42973,20151,69093,62798
ALL CLASSES,OTHERS,NIZAMABAD,533,TELANGANA,37,371883,357578,193293,165738,100891,91777,27351,48947,25093,220644,190831
ALL CLASSES,OTHERS,KARIMNAGAR,534,TELANGANA,37,546409,559792,316087,294113,104760,77183,67481,106549,80082,383568,374195
ALL CLASSES,OTHERS,MEDAK,535,TELANGANA,37,541557,548966,128404,103888,255028,223952,66622,87877,43160,195026,147048
ALL CLASSES,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,259983,337733,49709,39967,99783,94511,23446,33127,14766,73155,54732
ALL CLASSES,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,761838,988683,132561,143034,410120,429007,96670,224306,99078,229231,242112
ALL CLASSES,OTHERS,NALGONDA,539,TELANGANA,37,585344,754808,213917,194513,153456,148585,84310,170622,77712,298227,272225
ALL CLASSES,OTHERS,WARANGAL,540,TELANGANA,37,474526,506312,251961,218672,118712,101792,54002,95985,53619,305963,272290
ALL CLASSES,OTHERS,KHAMMAM,541,TELANGANA,37,267298,324091,131950,133781,92785,103134,27964,63737,29699,159914,163480
ALL CLASSES,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,461825,307914,304209,177560,93430,53615,50295,63994,36914,354504,214475
ALL CLASSES,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,385619,292697,159854,84301,110813,70090,106174,108592,58062,266028,142363
ALL CLASSES,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,355558,218042,198984,98105,98718,62911,57856,49811,24586,256840,122692
ALL CLASSES,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,591563,393393,416293,253251,134011,82371,37229,45320,25138,453522,278388
ALL CLASSES,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,496068,416957,468177,380662,22045,19851,2338,5113,2892,470515,383554
ALL CLASSES,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,488069,471806,359877,303821,109483,124253,14014,34532,15111,373891,318933
ALL CLASSES,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,685605,643418,441323,385543,200012,180416,15390,31933,17642,456713,403184
ALL CLASSES,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,583508,770930,148261,138148,354990,387032,41524,100489,42736,189785,180884
ALL CLASSES,OTHERS,NELLORE,550,ANDHRA PRADESH,36,342982,404532,250779,227668,54673,81842,7529,17070,7743,258308,235411
ALL CLASSES,OTHERS,KADAPA,551,ANDHRA PRADESH,36,393236,502650,144463,120510,147503,203653,24238,49339,20637,168701,141147
ALL CLASSES,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,544022,945171,135800,168171,350451,589402,32384,100211,38342,168184,206512
ALL CLASSES,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,626250,1141597,57879,82956,461346,746178,71706,184441,69630,129585,152586
ALL CLASSES,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,561836,555463,143136,103600,218839,149431,73512,110656,53561,216648,157161
ALL CLASSES,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,111340,187245,5863,4812,90712,146434,1511,3254,1652,7374,6464
