size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,273,264,537,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,372,362,734,0,20,0,20,0
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,160,194,354,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,1391,1290,2681,0,8,2,10,39
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,390,600,989,17,31,13,61,41
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,216,236,452,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,885,768,1654,413,168,0,581,0
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,38,38,76,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,950,563,1513,0,12,0,12,660
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,2521,1512,4033,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,739,622,1360,0,0,0,0,2
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,967,514,1481,1,1,0,2,0
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,2630,1275,3906,0,2,0,2,4
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,2281,1163,3445,0,0,0,0,2
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,77,103,180,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,5611,2414,8025,0,0,0,0,0
