size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
ALL CLASSES,INSTITUTIONAL,ADILABAD,532,TELANGANA,37,58,537,58,537,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NIZAMABAD,533,TELANGANA,37,72,755,72,755,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KARIMNAGAR,534,TELANGANA,37,25,354,25,354,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MEDAK,535,TELANGANA,37,184,2730,184,2730,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,RANGAREDDY,537,ANDHRA PRADESH,36,145,1092,145,1092,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,MAHABUBNAGAR,538,TELANGANA,37,14,452,14,452,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,NALGONDA,539,TELANGANA,37,135,2235,135,2235,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,WARANGAL,540,TELANGANA,37,7,76,7,76,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KHAMMAM,541,TELANGANA,37,160,2186,160,2186,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,SRIKAKULAM,542,ANDHRA PRADESH,36,508,4033,508,4033,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,VIZIANAGARAM,543,ANDHRA PRADESH,36,107,1363,107,1363,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,VISAKHAPATNAM,544,ANDHRA PRADESH,36,211,1483,211,1483,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,EAST GODAVARI,545,ANDHRA PRADESH,36,836,3912,836,3912,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,WEST GODAVARI,546,ANDHRA PRADESH,36,776,3446,776,3446,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,KRISHNA,547,ANDHRA PRADESH,36,25,180,25,180,0,0,0,0,0,0,0,0,0
ALL CLASSES,INSTITUTIONAL,GUNTUR,548,ANDHRA PRADESH,36,759,8025,759,8025,0,0,0,0,0,0,0,0,0
