level_code,level_description,var_code,var_description
district_code,district,532,ADILABAD
district_code,district,533,NIZAMABAD
district_code,district,534,KARIMNAGAR
district_code,district,535,MEDAK
district_code,district,537,RANGAREDDY
district_code,district,538,MAHBUBNAGAR
district_code,district,539,NALGONDA
district_code,district,540,WARANGAL
district_code,district,541,KHAMMAM
state_code,state,37,TELANGANA
year,year,1981,1981
year,year,1982,1982
year,year,1983,1983
year,year,1984,1984
year,year,1985,1985
year,year,1986,1986
year,year,1987,1987
year,year,1988,1988
year,year,1989,1989
year,year,1990,1990
year,year,1991,1991
year,year,1992,1992
year,year,1993,1993
year,year,1994,1994
year,year,1995,1995
year,year,1996,1996
year,year,1997,1997
year,year,1998,1998
year,year,1999,1999
year,year,2000,2000
year,year,2001,2001
year,year,2002,2002
year,year,2003,2003
year,year,2004,2004
year,year,2005,2005
year,year,2006,2006
year,year,2007,2007
year,year,2008,2008
year,year,2009,2009
year,year,2010,2010
year,year,2011,2011
year,year,2012,2012
year,year,2013,2013
