level_code,level_description,var_code,var_description
state_code,state,1,JAMMU & KASHMIR
state_code,state,2,HIMACHAL PRADESH
state_code,state,3,PUNJAB
state_code,state,4,CHANDIGARH
state_code,state,5,UTTARKHAND
state_code,state,6,HARYANA
state_code,state,7,DELHI
state_code,state,8,RAJASTHAN
state_code,state,9,UTTAR PRADESH
state_code,state,10,BIHAR
state_code,state,11,SIKKIM
state_code,state,12,ARUNACHAL PRADESH
state_code,state,13,NAGALAND
state_code,state,14,MANIPUR
state_code,state,15,MIZORAM
state_code,state,16,TRIPURA
state_code,state,17,MEGHALAYA
state_code,state,18,ASSAM
state_code,state,19,WEST BENGAL
state_code,state,20,JHARKHAND
state_code,state,21,ORISSA
state_code,state,22,CHHATISGARH
state_code,state,23,MADHYA PRADESH
state_code,state,24,GUJRAT
state_code,state,25,DAMAN & DIU
state_code,state,26,DADRA & NAGAR HAVELI
state_code,state,27,MAHARASTRA
state_code,state,28,ANDHRA PRADESH
state_code,state,29,KARNATAKA
state_code,state,30,GOA
state_code,state,31,LAKSHADWEEP
state_code,state,32,KERALA
state_code,state,33,TAMIL NADU
state_code,state,34,PONDICHERRY
state_code,state,35,ANDAMAN & NICOBAR ISLANDS
social_group_code,Social Group,1,Scheduled Castes (SC)
social_group_code,Social Group,2,Scheduled Tribes (ST)
social_group_code,Social Group,3,Others
social_group_code,Social Group,4,Institutional 
class_category_code,Land holding class category,1,Marginal (< 1 hectare)
class_category_code,Land holding class category,2,Small (1-2 hectares)
class_category_code,Land holding class category,3,Semi-Medium (2-4 hectares)
class_category_code,Land holding class category,4,Medium (4-10 hectares)
class_category_code,Land holding class category,5,Large (>10 hectares)
crop_code,Crop,101,PADDY
crop_code,Crop,102,JOWAR
crop_code,Crop,103,BAJRA
crop_code,Crop,104,MAIZE
crop_code,Crop,105,RAGI
crop_code,Crop,106,WHEAT
crop_code,Crop,107,BARLEY
crop_code,Crop,108,SMALL MILLETS
crop_code,Crop,109,JOBSTEARS
crop_code,Crop,110,GRIM
crop_code,Crop,188,OTHER CEREALS
crop_code,Crop,201,GRAM
crop_code,Crop,202,TUR (ARHAR)
crop_code,Crop,203,URAD
crop_code,Crop,204,MOONG
crop_code,Crop,205,MASUR
crop_code,Crop,206,HORSEGRAM
crop_code,Crop,207,BEANS (PULSES)
crop_code,Crop,208,PEAS (PULSES)
crop_code,Crop,209,MOTH
crop_code,Crop,288,OTHER PULSES
crop_code,Crop,399,TOTAL FOODGRAINS
crop_code,Crop,401,SUGARCANE
crop_code,Crop,402,PALMVRIAH
crop_code,Crop,488,OTHER SUGAR CROPS
crop_code,Crop,501,PEPPER (BLACK)
crop_code,Crop,502,CHILLIES
crop_code,Crop,503,GINGER
crop_code,Crop,504,TURMERIC
crop_code,Crop,505,CARDAMUM (LARGE)
crop_code,Crop,506,CARDAMUM (SMALL)
crop_code,Crop,507,BETELNUTS (ARECANUTS)
crop_code,Crop,508,GARLIC
crop_code,Crop,509,CORIANDER
crop_code,Crop,510,TAMARIND
crop_code,Crop,511,CUMIN SEED
crop_code,Crop,512,FENNEL / ANISE SEED
crop_code,Crop,513,NUTMEG
crop_code,Crop,514,FENUGREEK
crop_code,Crop,515,CLOVES
crop_code,Crop,516,CINNAMON
crop_code,Crop,517,COCOA
crop_code,Crop,518,KACHOLAM
crop_code,Crop,519,BEETLVINE
crop_code,Crop,520,AJAWINE
crop_code,Crop,521,SAFFRON
crop_code,Crop,588,OTHER CONDI. & SPICES
crop_code,Crop,601,MANGOES
crop_code,Crop,602,ORANGE AND KINU
crop_code,Crop,603,MOSAMBI
crop_code,Crop,604,LEMON / ACID LIME
crop_code,Crop,605,OTHER CITROUS FRUITS
crop_code,Crop,606,BANANA
crop_code,Crop,607,TABLE GRAPES
crop_code,Crop,608,WINE GRAPES (BLACK)
crop_code,Crop,609,APPLE
crop_code,Crop,610,PEAR
