level_code,level_description,var_code,var_description
state_code,state,1,JAMMU & KASHMIR
state_code,state,2,HIMACHAL PRADESH
state_code,state,3,PUNJAB
state_code,state,4,CHANDIGARH
state_code,state,5,UTTARKHAND
state_code,state,6,HARYANA
state_code,state,7,DELHI
state_code,state,8,RAJASTHAN
state_code,state,9,UTTAR PRADESH
state_code,state,11,SIKKIM
state_code,state,12,ARUNACHAL PRADESH
state_code,state,13,NAGALAND
state_code,state,14,MANIPUR
state_code,state,15,MIZORAM
state_code,state,16,TRIPURA
state_code,state,17,MEGHALAYA
state_code,state,18,ASSAM
state_code,state,19,WEST BENGAL
state_code,state,20,JHARKHAND
state_code,state,21,ORISSA
state_code,state,22,CHHATISGARH
state_code,state,23,MADHYA PRADESH
state_code,state,24,GUJRAT
state_code,state,25,DAMAN & DIU
state_code,state,26,DADRA & NAGAR HAVELI
state_code,state,27,MAHARASTRA
state_code,state,28,ANDHRA PRADESH
state_code,state,29,KARNATAKA
state_code,state,30,GOA
state_code,state,31,LAKSHADWEEP
state_code,state,32,KERALA
state_code,state,33,TAMIL NADU
state_code,state,34,PONDICHERRY
state_code,state,35,ANDAMAN & NICOBAR ISLANDS
