state_code,district_code,social_group_code,class_category_code,crop_code,crop_noh,irrigated_area,unirrigated_area,total_area
28.0,532.0,1.0,1.0,101.0,16103.0,4445.75,2154.65,6600.4
28.0,532.0,1.0,1.0,102.0,2767.0,0.0,1250.47,1250.47
28.0,532.0,1.0,1.0,103.0,54.0,1.85,24.03,25.88
28.0,532.0,1.0,1.0,104.0,5532.0,275.24,1503.76,1779.0
28.0,532.0,1.0,1.0,105.0,9.0,0.0,5.86,5.86
28.0,532.0,1.0,1.0,106.0,4.0,0.0,1.29,1.29
28.0,532.0,1.0,1.0,108.0,2.0,0.0,1.94,1.94
28.0,532.0,1.0,1.0,188.0,7.0,0.0,2.04,2.04
28.0,532.0,1.0,1.0,201.0,383.0,0.0,157.91,157.91
28.0,532.0,1.0,1.0,202.0,5521.0,3.99,1644.83,1648.82
28.0,532.0,1.0,1.0,203.0,1355.0,0.52,345.75,346.27
28.0,532.0,1.0,1.0,204.0,1477.0,0.0,449.94,449.94
28.0,532.0,1.0,1.0,206.0,102.0,0.0,42.56,42.56
28.0,532.0,1.0,1.0,207.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,208.0,5.0,0.0,1.25,1.25
28.0,532.0,1.0,1.0,288.0,18.0,0.0,5.44,5.44
28.0,532.0,1.0,1.0,399.0,31600.0,4727.35,7591.72,12319.07
28.0,532.0,1.0,1.0,401.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,402.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,502.0,366.0,115.23,34.39,149.62
28.0,532.0,1.0,1.0,503.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,504.0,368.0,141.36,0.0,141.36
28.0,532.0,1.0,1.0,507.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,509.0,10.0,0.0,8.33,8.33
28.0,532.0,1.0,1.0,520.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,588.0,14.0,5.69,2.97,8.66
28.0,532.0,1.0,1.0,601.0,326.0,22.47,117.51,139.98
28.0,532.0,1.0,1.0,603.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,604.0,2.0,0.0,0.41,0.41
28.0,532.0,1.0,1.0,616.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,632.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,688.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,701.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,702.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,703.0,6.0,0.0,4.97,4.97
28.0,532.0,1.0,1.0,708.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,713.0,33.0,1.97,13.84,15.81
28.0,532.0,1.0,1.0,716.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,717.0,4.0,0.0,0.14,0.14
28.0,532.0,1.0,1.0,718.0,9.0,1.47,0.65,2.12
28.0,532.0,1.0,1.0,720.0,8.0,0.0,1.24,1.24
28.0,532.0,1.0,1.0,721.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,723.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,728.0,20.0,0.0,1.6,1.6
28.0,532.0,1.0,1.0,730.0,31.0,0.0,9.43,9.43
28.0,532.0,1.0,1.0,788.0,64.0,11.15,3.51,14.66
28.0,532.0,1.0,1.0,1001.0,56.0,0.0,29.33,29.33
28.0,532.0,1.0,1.0,1002.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1003.0,277.0,0.0,135.93,135.93
28.0,532.0,1.0,1.0,1004.0,5.0,0.0,1.25,1.25
28.0,532.0,1.0,1.0,1005.0,6.0,0.0,1.5,1.5
28.0,532.0,1.0,1.0,1006.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1007.0,83.0,0.0,48.72,48.72
28.0,532.0,1.0,1.0,1008.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1009.0,1272.0,4.04,712.85,716.89
28.0,532.0,1.0,1.0,1010.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1011.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1088.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1101.0,6854.0,44.35,3698.13,3742.48
28.0,532.0,1.0,1.0,1103.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1104.0,14.0,0.0,6.06,6.06
28.0,532.0,1.0,1.0,1188.0,2.0,0.0,1.5,1.5
28.0,532.0,1.0,1.0,1605.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1688.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,1.0,1705.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,101.0,4526.0,2900.61,2138.58,5039.19
28.0,532.0,1.0,2.0,102.0,2758.0,0.79,2339.65,2340.44
28.0,532.0,1.0,2.0,103.0,49.0,0.0,68.37,68.37
28.0,532.0,1.0,2.0,104.0,2011.0,317.16,1061.92,1379.08
28.0,532.0,1.0,2.0,105.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,106.0,6.0,0.0,2.67,2.67
28.0,532.0,1.0,2.0,108.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,188.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,201.0,172.0,0.0,178.65,178.65
28.0,532.0,1.0,2.0,202.0,4375.0,32.49,2510.15,2542.64
28.0,532.0,1.0,2.0,203.0,799.0,0.0,409.88,409.88
28.0,532.0,1.0,2.0,204.0,958.0,1.06,531.45,532.51
28.0,532.0,1.0,2.0,206.0,103.0,0.0,122.73,122.73
28.0,532.0,1.0,2.0,207.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,208.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,288.0,8.0,0.0,3.37,3.37
28.0,532.0,1.0,2.0,399.0,12218.0,3252.11,9367.42,12619.53
28.0,532.0,1.0,2.0,401.0,4.0,4.68,0.0,4.68
28.0,532.0,1.0,2.0,402.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,502.0,157.0,59.32,44.84,104.16
28.0,532.0,1.0,2.0,503.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,504.0,392.0,168.18,0.81,168.99
28.0,532.0,1.0,2.0,507.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,509.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,520.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,588.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,601.0,171.0,34.92,154.45,189.37
28.0,532.0,1.0,2.0,603.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,604.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,616.0,9.0,0.0,8.76,8.76
28.0,532.0,1.0,2.0,632.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,688.0,7.0,0.0,9.57,9.57
28.0,532.0,1.0,2.0,701.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,702.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,703.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,708.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,713.0,45.0,12.27,18.69,30.96
28.0,532.0,1.0,2.0,716.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,717.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,718.0,25.0,15.06,15.41,30.47
28.0,532.0,1.0,2.0,720.0,23.0,0.0,10.92,10.92
28.0,532.0,1.0,2.0,721.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,723.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,728.0,14.0,0.0,1.98,1.98
28.0,532.0,1.0,2.0,730.0,13.0,0.0,2.79,2.79
28.0,532.0,1.0,2.0,788.0,17.0,1.53,6.13,7.66
28.0,532.0,1.0,2.0,1001.0,30.0,10.23,23.78,34.01
28.0,532.0,1.0,2.0,1002.0,7.0,0.0,4.1,4.1
28.0,532.0,1.0,2.0,1003.0,277.0,0.0,195.63,195.63
28.0,532.0,1.0,2.0,1004.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1005.0,70.0,0.0,85.7,85.7
28.0,532.0,1.0,2.0,1006.0,3.0,0.0,1.12,1.12
28.0,532.0,1.0,2.0,1007.0,67.0,5.23,66.95,72.18
28.0,532.0,1.0,2.0,1008.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1009.0,1416.0,0.0,1461.28,1461.28
28.0,532.0,1.0,2.0,1010.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1011.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1088.0,3.0,0.0,0.53,0.53
28.0,532.0,1.0,2.0,1101.0,5730.0,113.73,6055.18,6168.91
28.0,532.0,1.0,2.0,1103.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1104.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1188.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1605.0,0.0,0.0,0.0,0.0
28.0,532.0,1.0,2.0,1688.0,0.0,0.0,0.0,0.0
