state_code,district_code,social_group_code,class_category_code,tnoh,tauh,woandsoh_noh,woandsoh_aoh,wlh_noh,wlh_auh,wotherwiseoh_noh,wotherwiseoh_auh,poplandpotherwiseo_noh,poplandpotherwiseo_auo,poplandpotherwiseo_aul,poplandpotherwiseo_auotho,poplandpotherwiseo_tauh,poplandpotherwiseo_for_fm,poplandpotherwiseo_for_fp,poplandpotherwiseo_for_sop,poplandpotherwiseo_for_um,poplandpotherwiseo_for_ot,poplandpotherwiseo_for_total,wl_for_fm,wl_for_fp,wl_for_sop,wl_for_um,wl_for_ot,wl_for_total,nsa,aucf,nac,aulefl,fothtcf,cwl,tul,lnotaforc,nowih,auwirrigatedh,nowunirrigatedh,auwunirrigatedh,nopih,aupih,aupihirrigated,nohrirrigation,netauhrirrigation,noh_canalirri,auh_canalirri,noh_tanksirri,auh_tanksirri,noh_wellsirri,auh_wellsirri,noh_tubewellsirri,auh_tubewellsirri,noh_othirri,auh_othirri,exnohrirri,nia,nowinusewelecps,nowinusewdiselps,tnowinusewps,tnowinusewopst,nownotinuse,tubewellselec,tubewellsdisel,tubewellstotal,noh_woresideinvor,auh_woresideinvor,noh_woresidepinvorandpinovtor,aoh_woresidepinvorandpinovtor,noh_woresideoutsidevortor,aoh_woresideoutsidevortor,noh_woresideoutsidetor,aoh_woresideoutsidetor,gca_irrigated,gca_unirrigated,gca_total,noh_individual,noh_joint,noh_institutional,auh_individual,auh_joint,auh_institutional
28.0,532.0,1.0,1.0,42220.0,18980.76,42184.0,18960.52,22.0,11.4,4.0,2.19,10.0,4.02,2.63,0.0,6.65,0.16,2.47,0.0,0.0,0.0,2.63,11.4,0.0,0.0,0.0,0.0,11.4,17374.41,1598.97,18973.38,1.66,3.39,1.64,6.69,0.69,11755.0,4932.32,26365.0,12177.88,409.0,264.21,138.85,12164.0,5071.17,1691.0,769.52,4943.0,1639.26,2453.0,1142.14,2778.0,1339.2,436.0,181.05,12164.0,5071.17,3809.0,62.0,3871.0,0.0,0.0,3662.0,194.0,3856.0,38059.0,17072.13,75.0,51.87,4068.0,1845.88,18.0,10.88,5075.08,12425.98,17501.06,41979.0,241.0,0.0,18871.71,109.05,0.0
28.0,532.0,1.0,2.0,16818.0,23748.36,16782.0,23692.75,8.0,9.22,3.0,3.52,25.0,26.08,16.79,0.0,42.87,16.34,0.0,0.0,0.0,0.45,16.79,2.98,0.0,6.24,0.0,0.0,9.22,21018.38,2674.64,23693.02,23.28,17.6,14.27,55.15,0.19,2412.0,3093.54,12709.0,16674.73,872.0,1250.11,579.04,3284.0,3672.58,442.0,444.18,831.0,766.87,651.0,669.82,1368.0,1684.07,139.0,107.64,3284.0,3672.58,1017.0,16.0,1033.0,8.0,4.0,1900.0,49.0,1949.0,14873.0,20962.05,144.0,201.0,1786.0,2568.91,15.0,16.4,3677.26,17536.04,21213.3,16718.0,100.0,0.0,23602.39,145.97,0.0
28.0,532.0,1.0,3.0,11171.0,28155.9,11087.0,27908.69,6.0,18.14,3.0,6.94,75.0,153.35,68.78,0.0,222.13,55.64,2.02,11.12,0.0,0.0,68.78,17.24,0.9,0.0,0.0,0.0,18.14,23986.33,3865.15,27851.48,35.39,128.18,30.61,194.18,110.24,828.0,1783.68,8470.0,18978.0,1294.0,3224.65,1376.76,2122.0,3160.44,156.0,187.97,683.0,673.3,406.0,493.41,1008.0,1661.38,98.0,144.38,2122.0,3160.44,514.0,0.0,514.0,12.0,20.0,1291.0,15.0,1306.0,9720.0,24522.49,181.0,449.78,1263.0,3161.95,7.0,21.68,3164.07,20993.12,24157.19,11086.0,85.0,0.0,27930.31,225.59,0.0
28.0,532.0,1.0,4.0,2914.0,16194.58,2736.0,15147.86,0.0,0.0,2.0,7.4,176.0,706.21,333.11,0.0,1039.32,269.66,14.02,31.52,0.0,17.91,333.11,0.0,0.0,0.0,0.0,0.0,0.0,11864.51,3558.96,15423.47,65.19,273.69,34.13,373.01,398.1,148.0,428.38,2001.0,8678.76,619.0,2757.37,1116.22,767.0,1544.6,44.0,70.97,235.0,359.88,183.0,280.77,331.0,711.55,97.0,121.43,767.0,1544.6,213.0,3.0,216.0,0.0,0.0,493.0,9.0,502.0,2426.0,13436.55,135.0,749.21,344.0,1972.08,9.0,36.74,1544.67,10379.54,11924.21,2878.0,36.0,0.0,15979.5,215.08,0.0
28.0,532.0,1.0,5.0,237.0,3347.69,237.0,3347.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701.94,1117.85,2819.79,56.02,177.24,4.88,238.14,289.76,7.0,28.53,171.0,1298.29,44.0,375.12,159.99,51.0,188.52,3.0,8.0,18.0,34.1,22.0,47.12,16.0,70.77,7.0,28.53,51.0,188.52,26.0,0.0,26.0,0.0,0.0,31.0,0.0,31.0,207.0,2991.06,11.0,130.7,19.0,225.93,0.0,0.0,188.52,1519.79,1708.31,235.0,2.0,0.0,3262.24,85.45,0.0
28.0,532.0,2.0,1.0,33187.0,17652.64,33179.0,17648.01,0.0,0.0,0.0,0.0,8.0,3.56,1.07,0.0,4.63,1.07,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,16944.07,681.47,17625.54,0.32,9.74,0.45,10.51,16.59,5460.0,2475.43,26114.0,14322.65,212.0,145.99,74.48,5672.0,2549.91,755.0,326.86,2130.0,761.48,1109.0,576.54,1290.0,711.57,422.0,173.46,5672.0,2549.91,1545.0,33.0,1578.0,123.0,44.0,1640.0,92.0,1732.0,31311.0,16621.26,63.0,35.64,1813.0,995.74,0.0,0.0,2551.25,14495.65,17046.9,33131.0,56.0,0.0,17632.04,20.6,0.0
28.0,532.0,2.0,2.0,27403.0,39329.17,27385.0,39296.87,0.0,0.0,9.0,17.39,9.0,7.65,7.26,0.0,14.91,6.67,0.59,0.0,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,0.0,37474.73,1806.37,39281.1,10.88,17.48,0.89,29.25,18.82,1419.0,1730.54,24697.0,34737.52,695.0,1006.67,419.52,2114.0,2150.06,306.0,273.76,418.0,401.22,517.0,462.23,736.0,857.97,227.0,154.88,2114.0,2150.06,822.0,6.0,828.0,4.0,0.0,1048.0,14.0,1062.0,25793.0,37009.62,275.0,382.59,1249.0,1815.26,86.0,121.7,2150.15,35562.1,37712.25,27381.0,22.0,0.0,39297.64,31.53,0.0
28.0,532.0,2.0,3.0,26144.0,67290.24,26102.0,67170.27,8.0,25.8,7.0,20.35,27.0,51.7,22.12,0.0,73.82,21.99,0.0,0.0,0.0,0.13,22.12,19.07,3.72,3.01,0.0,0.0,25.8,63223.04,3788.49,67011.53,57.82,106.72,21.2,185.74,92.97,493.0,1053.43,24210.0,59610.81,1032.0,2558.8,1153.77,1525.0,2207.2,201.0,207.31,407.0,471.2,387.0,466.23,607.0,885.49,171.0,176.97,1525.0,2207.2,489.0,4.0,493.0,0.0,0.0,899.0,1.0,900.0,24969.0,64234.34,256.0,731.49,919.0,2324.41,0.0,0.0,2207.29,61205.84,63413.13,26127.0,17.0,0.0,67243.58,46.66,0.0
28.0,532.0,2.0,4.0,8133.0,43502.17,8073.0,43140.23,1.0,6.68,0.0,0.0,59.0,240.53,114.73,0.0,355.26,88.25,15.62,10.27,0.22,0.37,114.73,5.04,1.64,0.0,0.0,0.0,6.68,38886.07,3565.16,42451.23,211.73,318.71,48.82,579.26,471.68,105.0,309.24,7503.0,36513.12,438.0,2063.71,753.15,543.0,1062.39,48.0,79.88,124.0,227.64,149.0,196.41,266.0,458.39,65.0,100.07,543.0,1062.39,169.0,0.0,169.0,0.0,4.0,383.0,1.0,384.0,7614.0,40887.34,120.0,659.14,399.0,1955.69,0.0,0.0,1062.44,37977.76,39040.2,8126.0,7.0,0.0,43457.42,44.75,0.0
28.0,532.0,2.0,5.0,479.0,6833.27,463.0,6616.92,0.0,0.0,0.0,0.0,16.0,101.92,114.43,0.0,216.35,60.33,3.2,50.5,0.0,0.4,114.43,0.0,0.0,0.0,0.0,0.0,0.0,4587.55,1278.39,5865.94,135.1,305.91,30.58,471.59,495.74,14.0,43.92,420.0,4152.98,33.0,390.65,110.75,47.0,154.67,0.0,0.0,14.0,27.43,9.0,12.29,24.0,71.03,14.0,43.92,47.0,154.67,9.0,0.0,9.0,0.0,4.0,43.0,0.0,43.0,442.0,6370.76,13.0,161.89,24.0,300.62,0.0,0.0,154.68,4433.01,4587.69,477.0,2.0,0.0,6808.54,24.73,0.0
