state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
37,532,INSTITUTIONAL,ALL CLASSES,58,537,76,197,273
37,533,INSTITUTIONAL,ALL CLASSES,72,755,373,13,385
37,534,INSTITUTIONAL,ALL CLASSES,25,354,149,21,171
37,535,INSTITUTIONAL,ALL CLASSES,184,2730,949,461,1411
36,537,INSTITUTIONAL,ALL CLASSES,145,1092,281,124,405
37,538,INSTITUTIONAL,ALL CLASSES,14,452,9,208,216
37,539,INSTITUTIONAL,ALL CLASSES,135,2235,555,387,942
37,540,INSTITUTIONAL,ALL CLASSES,7,76,4,34,38
37,541,INSTITUTIONAL,ALL CLASSES,160,2186,538,464,1001
36,542,INSTITUTIONAL,ALL CLASSES,508,4033,1754,1142,2896
36,543,INSTITUTIONAL,ALL CLASSES,107,1363,341,478,819
36,544,INSTITUTIONAL,ALL CLASSES,211,1483,514,457,971
36,545,INSTITUTIONAL,ALL CLASSES,836,3912,2576,730,3306
36,546,INSTITUTIONAL,ALL CLASSES,776,3446,3213,41,3254
36,547,INSTITUTIONAL,ALL CLASSES,25,180,24,54,78
36,548,INSTITUTIONAL,ALL CLASSES,759,8025,3986,1869,5855
36,549,INSTITUTIONAL,ALL CLASSES,168,2040,152,875,1027
36,550,INSTITUTIONAL,ALL CLASSES,666,6792,2701,1480,4181
36,551,INSTITUTIONAL,ALL CLASSES,18,619,296,21,316
36,552,INSTITUTIONAL,ALL CLASSES,53,1619,153,732,885
36,553,INSTITUTIONAL,ALL CLASSES,714,5821,160,3801,3961
36,554,INSTITUTIONAL,ALL CLASSES,45,2173,689,298,987
37,532,SCHEDULED CASTE,ALL CLASSES,80294,90599,10236,69978,80213
37,533,SCHEDULED CASTE,ALL CLASSES,62591,42530,36097,20967,57064
37,534,SCHEDULED CASTE,ALL CLASSES,96579,61893,46017,17582,63599
37,535,SCHEDULED CASTE,ALL CLASSES,107702,74873,19517,44695,64211
36,537,SCHEDULED CASTE,ALL CLASSES,53045,48481,6660,22491,29152
37,538,SCHEDULED CASTE,ALL CLASSES,129514,117957,23562,78020,101583
37,539,SCHEDULED CASTE,ALL CLASSES,87125,63174,28805,22452,51257
37,540,SCHEDULED CASTE,ALL CLASSES,82212,58348,32804,20179,52983
37,541,SCHEDULED CASTE,ALL CLASSES,44552,29710,16858,13641,30499
36,542,SCHEDULED CASTE,ALL CLASSES,27487,10620,6470,6358,12827
36,543,SCHEDULED CASTE,ALL CLASSES,21930,11574,5014,6809,11824
36,544,SCHEDULED CASTE,ALL CLASSES,10462,6143,3216,2770,5986
36,545,SCHEDULED CASTE,ALL CLASSES,62363,22626,21626,10150,31776
