"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
37,532,4,99,58,537,76,197,273
37,533,4,99,72,755,373,13,385
37,534,4,99,25,354,149,21,171
37,535,4,99,184,2730,949,461,1411
36,537,4,99,145,1092,281,124,405
37,538,4,99,14,452,9,208,216
37,539,4,99,135,2235,555,387,942
37,540,4,99,7,76,4,34,38
37,541,4,99,160,2186,538,464,1001
36,542,4,99,508,4033,1754,1142,2896
36,543,4,99,107,1363,341,478,819
36,544,4,99,211,1483,514,457,971
36,545,4,99,836,3912,2576,730,3306
36,546,4,99,776,3446,3213,41,3254
36,547,4,99,25,180,24,54,78
36,548,4,99,759,8025,3986,1869,5855
36,549,4,99,168,2040,152,875,1027
36,550,4,99,666,6792,2701,1480,4181
36,551,4,99,18,619,296,21,316
36,552,4,99,53,1619,153,732,885
36,553,4,99,714,5821,160,3801,3961
36,554,4,99,45,2173,689,298,987
37,532,1,99,80294,90599,10236,69978,80213
37,533,1,99,62591,42530,36097,20967,57064
37,534,1,99,96579,61893,46017,17582,63599
37,535,1,99,107702,74873,19517,44695,64211
36,537,1,99,53045,48481,6660,22491,29152
37,538,1,99,129514,117957,23562,78020,101583
37,539,1,99,87125,63174,28805,22452,51257
37,540,1,99,82212,58348,32804,20179,52983
37,541,1,99,44552,29710,16858,13641,30499
36,542,1,99,27487,10620,6470,6358,12827
36,543,1,99,21930,11574,5014,6809,11824
36,544,1,99,10462,6143,3216,2770,5986
36,545,1,99,62363,22626,21626,10150,31776
36,546,1,99,48177,25490,32264,1350,33614
36,547,1,99,50842,27140,20084,14933,35017
36,548,1,99,53256,31070,22779,12623,35402
36,549,1,99,73059,62154,15588,34674,50261
36,550,1,99,88661,53277,41783,9862,51645
36,551,1,99,39525,31556,13075,12265,25340
36,552,1,99,76496,86874,21761,59797,81558
36,553,1,99,71518,88061,9094,70129,79223
36,554,1,99,89262,56346,19358,20801,40159
37,532,3,99,328303,450198,68646,346062,414707
37,533,3,99,371883,357578,307357,169154,476511
37,534,3,99,546409,559792,462356,118957,581313
37,535,3,99,541557,548966,176474,285349,461823
36,537,3,99,259983,337733,65014,117101,182115
37,538,3,99,761838,988683,261584,573503,835088
37,539,3,99,585344,754808,414130,256109,670239
37,540,3,99,474526,506312,326888,147541,474429
37,541,3,99,267298,324091,212621,146068,358689
36,542,3,99,461825,307914,248757,172654,421410
36,543,3,99,385619,292697,154310,162840,317150
36,544,3,99,355558,218042,132151,96931,229082
36,545,3,99,591563,393393,446976,148387,595362
36,546,3,99,496068,416957,629038,23088,652126
36,547,3,99,488069,471806,408702,276043,684745
36,548,3,99,685605,643418,512752,283751,796503
36,549,3,99,583508,770930,209698,465486,675184
36,550,3,99,342982,404532,330598,95529,426127
36,551,3,99,393236,502650,172101,294390,466491
36,552,3,99,544022,945171,228503,674297,902800
36,553,3,99,626250,1141597,172204,869651,1041854
36,554,3,99,561836,555463,181972,211140,393112
37,532,2,99,111340,187245,6967,149137,156105
37,533,2,99,38982,33612,30077,15273,45350
37,534,2,99,19332,16651,10022,5192,15214
37,535,2,99,35100,36362,9778,22102,31880
36,537,2,99,29498,32328,8142,13847,21989
37,538,2,99,90948,97770,18977,61042,80019
37,539,2,99,84584,84019,35936,32576,68512
37,540,2,99,106316,102576,67363,35058,102422
37,541,2,99,156327,180118,56179,114726,170905
36,542,2,99,36050,26845,8146,14769,22915
