"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly_irri_no","holding_whly_irri_ar","holding_whly_rain_no","holding_whly_rain_ar","holding_prtly_irri_no","holding_prtly_irri_tot.ar","holding_prtly_irri_irri.ar","holding_recve_irri_no","holding_recve_irri_irri.ar"
37,532,"INSTITUTIONAL","ALL CLASSES",58,537,19,76,36,197,0,0,0,19,76
37,533,"INSTITUTIONAL","ALL CLASSES",72,755,48,358,9,7,1,8,2,49,360
37,534,"INSTITUTIONAL","ALL CLASSES",25,354,13,122,7,9,4,30,17,17,139
37,535,"INSTITUTIONAL","ALL CLASSES",184,2730,54,919,88,449,25,24,14,79,933
36,537,"INSTITUTIONAL","ALL CLASSES",145,1092,48,195,31,97,31,97,70,79,265
37,538,"INSTITUTIONAL","ALL CLASSES",14,452,1,9,12,207,0,0,0,1,9
37,539,"INSTITUTIONAL","ALL CLASSES",135,2235,62,399,43,320,24,166,108,86,508
37,540,"INSTITUTIONAL","ALL CLASSES",7,76,5,4,2,34,0,0,0,5,4
37,541,"INSTITUTIONAL","ALL CLASSES",160,2186,93,435,49,351,11,165,53,104,487
36,542,"INSTITUTIONAL","ALL CLASSES",508,4033,334,1110,64,412,93,999,492,427,1602
36,543,"INSTITUTIONAL","ALL CLASSES",107,1363,49,253,21,84,30,401,87,79,341
36,544,"INSTITUTIONAL","ALL CLASSES",211,1483,162,503,45,448,4,16,6,166,510
36,545,"INSTITUTIONAL","ALL CLASSES",836,3912,727,1978,67,529,42,124,81,769,2059
36,546,"INSTITUTIONAL","ALL CLASSES",776,3446,745,2233,16,26,2,22,7,747,2240
36,547,"INSTITUTIONAL","ALL CLASSES",25,180,4,15,18,48,2,13,8,6,23
36,548,"INSTITUTIONAL","ALL CLASSES",759,8025,376,3502,325,1737,33,372,324,409,3826
36,549,"INSTITUTIONAL","ALL CLASSES",168,2040,15,101,140,683,12,232,50,27,152
36,550,"INSTITUTIONAL","ALL CLASSES",666,6792,542,2363,94,1420,6,97,47,548,2410
36,551,"INSTITUTIONAL","ALL CLASSES",18,619,10,296,6,21,0,0,0,10,296
36,552,"INSTITUTIONAL","ALL CLASSES",53,1619,23,144,28,719,2,17,9,25,153
36,553,"INSTITUTIONAL","ALL CLASSES",714,5821,29,90,604,3186,63,467,70,92,160
36,554,"INSTITUTIONAL","ALL CLASSES",45,2173,11,685,29,291,2,10,3,13,688
37,532,"SCHEDULED CASTE","ALL CLASSES",80294,90599,11423,7324,58896,67599,2093,4034,2076,13516,9400
37,533,"SCHEDULED CASTE","ALL CLASSES",62591,42530,33896,20118,16938,12265,3281,4118,2107,37177,22225
37,534,"SCHEDULED CASTE","ALL CLASSES",96579,61893,52732,31965,24361,13987,7450,8752,6182,60182,38148
37,535,"SCHEDULED CASTE","ALL CLASSES",107702,74873,20282,11913,58338,36776,10532,9280,4581,30814,16495
36,537,"SCHEDULED CASTE","ALL CLASSES",53045,48481,6697,4015,25519,19635,3533,3741,1669,10230,5685
37,538,"SCHEDULED CASTE","ALL CLASSES",129514,117957,18461,14739,78947,66949,9652,15659,7013,28113,21752
37,539,"SCHEDULED CASTE","ALL CLASSES",87125,63174,29505,16370,23815,16596,6942,8775,4113,36447,20483
37,540,"SCHEDULED CASTE","ALL CLASSES",82212,58348,37926,23028,26671,15712,6267,9119,5025,44193,28053
37,541,"SCHEDULED CASTE","ALL CLASSES",44552,29710,21579,11839,16915,11332,2386,3131,1601,23965,13440
36,542,"SCHEDULED CASTE","ALL CLASSES",27487,10620,17366,5581,7585,2942,1366,1030,656,18732,6237
