state_code,district_code,social_group_code,class_category_code,noh_individual,auh_individual,noh_joint,auh_joint,noh_total,auh_total,no_tehsils
28.0,532.0,1.0,1.0,47797.0,22021.0,216.0,90.0,48013.0,22113.0,104.0
28.0,532.0,1.0,2.0,18830.0,26495.0,87.0,125.0,18917.0,26618.0,52.0
28.0,532.0,1.0,3.0,10917.0,27123.0,75.0,211.0,10992.0,27335.0,104.0
28.0,532.0,1.0,4.0,2164.0,11856.0,42.0,212.0,2206.0,12065.0,156.0
28.0,532.0,1.0,5.0,163.0,2435.0,3.0,35.0,166.0,2470.0,104.0
28.0,532.0,2.0,1.0,41114.0,22410.0,72.0,33.0,41186.0,22442.0,104.0
28.0,532.0,2.0,2.0,34755.0,49748.0,39.0,55.0,34794.0,49802.0,52.0
28.0,532.0,2.0,3.0,27971.0,71360.0,35.0,93.0,28006.0,71454.0,104.0
28.0,532.0,2.0,4.0,6902.0,36336.0,16.0,94.0,6918.0,36433.0,156.0
28.0,532.0,2.0,5.0,436.0,7111.0,0.0,0.0,436.0,7111.0,104.0
28.0,532.0,3.0,1.0,169420.0,78407.0,532.0,238.0,169952.0,78646.0,104.0
28.0,532.0,3.0,2.0,89985.0,129116.0,232.0,333.0,90217.0,129445.0,52.0
28.0,532.0,3.0,3.0,51553.0,133355.0,205.0,563.0,51758.0,133918.0,104.0
28.0,532.0,3.0,4.0,14735.0,82686.0,123.0,744.0,14858.0,83433.0,156.0
28.0,532.0,3.0,5.0,1495.0,24377.0,23.0,387.0,1518.0,24764.0,104.0
28.0,532.0,4.0,1.0,0.0,0.0,0.0,0.0,26.0,10.0,104.0
28.0,532.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,52.0
28.0,532.0,4.0,3.0,0.0,0.0,0.0,0.0,9.0,26.0,104.0
28.0,532.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,47.0,156.0
28.0,532.0,4.0,5.0,0.0,0.0,0.0,0.0,10.0,443.0,104.0
28.0,533.0,1.0,1.0,49457.0,21490.0,0.0,0.0,49457.0,21490.0,72.0
28.0,533.0,1.0,2.0,10813.0,14517.0,0.0,0.0,10813.0,14517.0,36.0
28.0,533.0,1.0,3.0,2092.0,5217.0,0.0,0.0,2092.0,5217.0,72.0
28.0,533.0,1.0,4.0,218.0,1146.0,0.0,0.0,218.0,1146.0,108.0
28.0,533.0,1.0,5.0,11.0,153.0,0.0,0.0,11.0,153.0,72.0
28.0,533.0,2.0,1.0,26281.0,13796.0,0.0,0.0,26281.0,13796.0,72.0
28.0,533.0,2.0,2.0,10578.0,14240.0,0.0,0.0,10578.0,14240.0,36.0
28.0,533.0,2.0,3.0,1991.0,4774.0,0.0,0.0,1991.0,4774.0,72.0
28.0,533.0,2.0,4.0,124.0,660.0,0.0,0.0,124.0,660.0,108.0
28.0,533.0,2.0,5.0,8.0,145.0,0.0,0.0,8.0,145.0,72.0
28.0,533.0,3.0,1.0,243673.0,112104.0,0.0,0.0,243673.0,112104.0,72.0
28.0,533.0,3.0,2.0,91437.0,128016.0,0.0,0.0,91437.0,128016.0,36.0
28.0,533.0,3.0,3.0,30425.0,79379.0,0.0,0.0,30425.0,79379.0,72.0
28.0,533.0,3.0,4.0,5949.0,32381.0,0.0,0.0,5949.0,32381.0,108.0
28.0,533.0,3.0,5.0,399.0,5693.0,0.0,0.0,399.0,5693.0,72.0
28.0,533.0,4.0,1.0,0.0,0.0,0.0,0.0,20.0,8.0,72.0
28.0,533.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,11.0,36.0
28.0,533.0,4.0,3.0,0.0,0.0,0.0,0.0,13.0,32.0,72.0
28.0,533.0,4.0,4.0,0.0,0.0,0.0,0.0,15.0,99.0,108.0
28.0,533.0,4.0,5.0,0.0,0.0,0.0,0.0,16.0,604.0,72.0
28.0,534.0,1.0,1.0,78826.0,31456.0,0.0,0.0,78826.0,31456.0,114.0
28.0,534.0,1.0,2.0,13973.0,18939.0,0.0,0.0,13973.0,18939.0,57.0
28.0,534.0,1.0,3.0,3206.0,8178.0,1.0,2.0,3207.0,8180.0,114.0
28.0,534.0,1.0,4.0,544.0,2840.0,0.0,0.0,544.0,2840.0,171.0
28.0,534.0,1.0,5.0,29.0,467.0,0.0,0.0,29.0,467.0,114.0
28.0,534.0,2.0,1.0,13623.0,6372.0,0.0,0.0,13623.0,6372.0,114.0
28.0,534.0,2.0,2.0,4278.0,5859.0,0.0,0.0,4278.0,5859.0,57.0
28.0,534.0,2.0,3.0,1188.0,3027.0,0.0,0.0,1188.0,3027.0,114.0
28.0,534.0,2.0,4.0,228.0,1170.0,0.0,0.0,228.0,1170.0,171.0
28.0,534.0,2.0,5.0,15.0,232.0,0.0,0.0,15.0,232.0,114.0
28.0,534.0,3.0,1.0,348399.0,156517.0,5.0,3.0,348404.0,156520.0,114.0
28.0,534.0,3.0,2.0,124264.0,174812.0,0.0,0.0,124264.0,174812.0,57.0
28.0,534.0,3.0,3.0,50191.0,132706.0,0.0,0.0,50191.0,132706.0,114.0
28.0,534.0,3.0,4.0,12878.0,70466.0,1.0,7.0,12879.0,70473.0,171.0
28.0,534.0,3.0,5.0,1016.0,15662.0,0.0,0.0,1016.0,15662.0,114.0
28.0,534.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,114.0
28.0,534.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,10.0,57.0
28.0,534.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,10.0,114.0
28.0,534.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,42.0,171.0
28.0,534.0,4.0,5.0,0.0,0.0,0.0,0.0,6.0,291.0,114.0
28.0,535.0,1.0,1.0,84157.0,34756.0,10.0,5.0,84167.0,34761.0,92.0
28.0,535.0,1.0,2.0,18588.0,25230.0,5.0,6.0,18593.0,25236.0,46.0
28.0,535.0,1.0,3.0,4278.0,10811.0,1.0,2.0,4279.0,10814.0,92.0
28.0,535.0,1.0,4.0,622.0,3377.0,0.0,0.0,622.0,3377.0,138.0
28.0,535.0,1.0,5.0,41.0,685.0,0.0,0.0,41.0,685.0,92.0
28.0,535.0,2.0,1.0,21530.0,11034.0,8.0,6.0,21538.0,11040.0,92.0
28.0,535.0,2.0,2.0,9876.0,13650.0,2.0,2.0,9878.0,13652.0,46.0
