"state_code","district_code","social_group","size_class","holding_no","holding_ar","sown_ar","current_fallows_ar","cultivated_ar","uncultivated.land_excluding_fallow","fallow_excluding_current.fallow","culturable_waste_land","uncultivated_land","land_not_for_cultivation"
37,532,4,99,58,537,273,264,537,0,0,0,0,0
37,533,4,99,72,755,372,362,734,0,20,0,20,0
37,534,4,99,25,354,160,194,354,0,0,0,0,0
37,535,4,99,184,2730,1391,1290,2681,0,8,2,10,39
36,537,4,99,145,1092,390,600,989,17,31,13,61,41
37,538,4,99,14,452,216,236,452,0,0,0,0,0
37,539,4,99,135,2235,885,768,1654,413,168,0,581,0
37,540,4,99,7,76,38,38,76,0,0,0,0,0
37,541,4,99,160,2186,950,563,1513,0,12,0,12,660
36,542,4,99,508,4033,2521,1512,4033,0,0,0,0,0
36,543,4,99,107,1363,739,622,1360,0,0,0,0,2
36,544,4,99,211,1483,967,514,1481,1,1,0,2,0
36,545,4,99,836,3912,2630,1275,3906,0,2,0,2,4
36,546,4,99,776,3446,2281,1163,3445,0,0,0,0,2
36,547,4,99,25,180,77,103,180,0,0,0,0,0
36,548,4,99,759,8025,5611,2414,8025,0,0,0,0,0
36,549,4,99,168,2040,1017,587,1604,0,436,0,436,0
36,550,4,99,666,6792,3880,2277,6157,142,106,49,297,338
36,551,4,99,18,619,316,303,619,0,0,0,0,0
36,552,4,99,53,1619,880,738,1619,0,0,0,0,0
36,553,4,99,714,5821,3744,2039,5783,0,39,0,39,0
36,554,4,99,45,2173,987,1037,2023,34,30,34,98,52
37,532,1,99,80294,90599,78957,11545,90502,1,20,21,43,54
37,533,1,99,62591,42530,36501,5467,41967,1,209,1,211,352
37,534,1,99,96579,61893,54704,7054,61758,10,77,0,88,47
37,535,1,99,107702,74873,57969,13177,71146,67,3105,13,3185,543
36,537,1,99,53045,48481,27392,18176,45567,201,1384,103,1688,1226
37,538,1,99,129514,117957,97347,20381,117729,0,219,0,219,9
37,539,1,99,87125,63174,41742,19914,61656,192,787,79,1057,461
37,540,1,99,82212,58348,47859,9911,57770,20,464,21,505,72
37,541,1,99,44552,29710,26302,3131,29434,0,277,0,277,0
36,542,1,99,27487,10620,9553,1067,10620,0,0,0,0,0
36,543,1,99,21930,11574,10365,1177,11541,6,0,6,13,20
36,544,1,99,10462,6143,5660,403,6063,3,59,0,62,18
36,545,1,99,62363,22626,20940,1236,22176,150,55,0,205,244
36,546,1,99,48177,25490,24176,1254,25430,11,7,0,19,42
36,547,1,99,50842,27140,25707,1410,27117,0,7,0,7,15
36,548,1,99,53256,31070,27495,3573,31068,0,2,0,2,0
36,549,1,99,73059,62154,48279,7585,55863,12,5026,448,5486,805
36,550,1,99,88661,53277,43377,7239,50616,240,892,471,1603,1059
36,551,1,99,39525,31556,20206,9849,30055,62,815,61,938,563
36,552,1,99,76496,86874,78359,8264,86623,10,194,14,218,33
36,553,1,99,71518,88061,77659,9676,87335,1,624,5,631,95
36,554,1,99,89262,56346,37225,16278,53503,109,2129,52,2290,553
37,532,3,99,328303,450198,405203,44322,449525,17,36,359,412,261
37,533,3,99,371883,357578,306462,44813,351275,102,1390,50,1541,4762
37,534,3,99,546409,559792,477845,79892,557737,252,832,77,1160,895
37,535,3,99,541557,548966,415718,98167,513885,1020,17374,443,18837,16244
36,537,3,99,259983,337733,167605,147056,314661,3335,9782,1756,14873,8200
