"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,538,2001,202,1,57586,16297,0.283002813
28,539,2009,202,1,36804,15568,0.4229975
28,532,2001,202,1,38438,18027,0.468989021
28,535,2005,202,1,24042,6131,0.255012062
28,535,2001,202,1,19399,9971,0.513995567
28,539,2010,202,2,18,8,0.444444444
28,537,2002,202,1,32736,19151,0.585013441
28,541,2004,202,1,26863,15258,0.56799315
28,533,2011,202,1,3946,3662,0.928028383
28,533,2001,202,1,2615,565,0.216061185
28,534,2004,202,1,9833,2212,0.224956778
28,535,2002,202,2,44,14,0.318181818
28,539,2005,202,1,36058,20697,0.573991902
28,535,2006,202,1,23958,8218,0.343016946
28,539,2009,202,2,5585,2362,0.422918532
28,534,2010,202,2,50,18,0.36
28,538,2006,202,1,66732,13880,0.207996164
28,538,2009,202,1,92155,20182,0.219000597
28,532,2004,202,2,3342,1420,0.424895272
28,541,2010,202,1,13606,5061,0.371968249
28,534,2006,202,1,11789,5187,0.439986428
28,534,2009,202,2,920,675,0.733695652
28,535,2010,202,2,17,12,0.705882353
28,532,2007,202,1,38000,30000,0.789473684
28,535,2004,202,1,23372,10728,0.459010782
28,533,2010,202,1,5704,5807,1.018057504
28,541,2008,202,2,627,374,0.596491228
28,532,2006,202,2,2912,2024,0.695054945
28,533,2004,202,1,3216,1386,0.430970149
28,533,2007,202,1,3000,2000,0.666666667
28,532,2009,202,2,3785,2131,0.563011889
28,532,2011,202,1,38832,23260,0.598990523
28,541,2002,202,1,24448,10195,0.417007526
28,538,2003,202,2,2,1,0.5
28,532,2008,202,1,39533,18660,0.472010725
28,532,2011,202,2,591,354,0.598984772
28,538,2007,202,1,69000,49000,0.710144928
28,535,2007,202,1,24000,12000,0.5
28,539,2010,202,1,46939,21639,0.461002578
28,532,2004,202,1,36468,15499,0.425002742
28,533,2005,202,1,4417,1687,0.381933439
28,532,2003,202,1,38393,13284,0.346000573
28,535,2011,202,2,11,4,0.363636364
28,533,2002,202,2,1,NA,NA
28,538,2011,202,1,121184,20844,0.172002905
28,532,2009,202,1,44943,25303,0.563002025
28,541,2009,202,2,1859,889,0.478214094
28,537,2011,202,1,39408,11192,0.284003248
28,539,2004,202,1,36838,13188,0.357999891
28,538,2009,202,2,289,63,0.21799308
28,532,2002,202,2,945,232,0.245502646
28,537,2007,202,1,32000,28000,0.875
28,532,2008,202,2,1539,726,0.471734893
28,541,2011,202,2,454,172,0.378854626
28,535,2002,202,1,18894,6122,0.324018207
28,538,2008,202,1,79972,23032,0.2880008
28,534,2004,202,2,579,130,0.224525043
28,541,2008,202,1,14055,8377,0.596015653
28,532,2010,202,1,47884,26193,0.547009439
28,533,2010,202,2,4,4,1
28,539,2003,202,1,37021,18844,0.509008401
28,534,2008,202,1,6542,3873,0.592020789
28,539,2006,202,2,517,165,0.319148936
28,533,2004,202,2,276,119,0.43115942
28,534,2007,202,1,10000,7000,0.7
28,532,2002,202,1,40771,9989,0.245002575
28,539,2003,202,2,865,440,0.50867052
28,535,2010,202,1,29766,20836,0.699993281
28,538,2002,202,1,58008,24073,0.414994484
28,538,2003,202,1,60205,24022,0.399003405
28,541,2004,202,2,676,384,0.568047337
28,541,2006,202,1,22343,12177,0.545002909
28,533,2006,202,1,3333,1173,0.351935194
28,532,2001,202,2,652,306,0.469325153
28,538,2010,202,2,208,85,0.408653846
28,539,2002,202,2,713,151,0.211781206
28,532,2003,202,2,1351,467,0.345669874
28,532,2006,202,1,31414,21833,0.695008595
