"state_code","district_code","report_area","forests","nac_nau","nac_bul","nac_total","oulefl_pp","oulefl_misc","oulefl_cwl","oulefl_total","f_ot_th_current","current_fallows","fallow_land_total","nsa","gca","area_sown_more"
28,532,1610500,689517,61786,43920,105706,14234,8504,18797,41535,88287,68432,156719,617023,673046,56023
28,533,795600,169343,97053,46833,143886,19780,1540,12500,33820,48126,38322,86448,362103,605377,243274
28,534,1182300,250410,96249,95963,192212,41283,10770,24253,76306,27181,65451,92632,570740,871654,300914
28,535,970000,91390,75997,52444,128441,30168,3684,19156,53008,53413,115120,168533,528628,651100,122472
28,536,21700,0,21700,0,21700,0,0,0,0,0,0,0,0,0,0
28,537,749300,73075,112358,27084,139442,31662,6176,26102,63940,85261,132979,218240,254603,290609,36006
28,538,1843200,255596,97641,87562,185203,17560,6466,21481,45507,162775,280670,443445,913449,1017496,104047
28,539,1424000,83073,128360,121351,249711,64294,7392,29146,100832,138606,160464,299070,691314,880758,189444
28,540,1284600,371014,72256,51363,123619,44958,49405,12036,106399,88981,49728,138709,544859,741592,196733
28,541,1602900,759438,131612,88887,220499,37603,19707,14570,71880,24176,48653,72829,478254,555876,77622
