"state_code","district_code","no_tehsils","below_six_male_exosheep","above_six_male_exosheep","total_male_exosheep","below_six_female_exosheep","above_six_female_exosheep","total_female_exosheep","total_exosheep","total_camel","under_one_male_buff","one_three_male_buff","breeding_male_buff","agr_breeding_male_buff","bc_breeding_male_buff","others_male_buff","total_male_buff","under_one_female_buff","one_three_female_buff","breeding_female_buff","agr_breeding_female_buff","bc_breeding_female_buff","others_female_buff","total_female_buff","total_buff","under_one_male_exocattle","one_three_male_exocattle","breeding_male_exocattle","agr_breeding_male_exocattle","bc_breeding_male_exocattle","others_male_exocattle","total_male_exocattle","under_one_female_exocattle","one_twohalf_female_exocattle","in_milk_exocattle","dry_female_exocattle","not_calved_female_exocattle","above_ten_female_exocattle","total_female_exocattle","total_exocattle","under_one_male_indicattle","one_three_male_indicattle","breeding_male_indicattle","agr_breeding_male_indicattle","bc_breeding_male_indicattle","others_male_indicattle","total_male_indicattle","under_one_female_indicattle","one_three_female_indicattle","in_milk_indicattle","dry_female_indicattle","not_calved_female_indicattle","above_ten_female_indicattle","total_female_indicattle","total_indicattle","total_cattle","below_six_male_indisheep","above_six_male_indisheep","total_male_indisheep","below_six_female_indisheep","above_six_female_indisheep","total_female_indisheep","total_indisheep","improved_cocks","desi_cocks","total_cocks","improved_hens","desi_hens","total_hens","desi_eggs","improved_eggs","total_eggs","desi_meat","improved_meat","total_meat","under_one_male_goat","one_three_male_goat","total_male_goat","under_one_female_goat","in_milk_goat","dry_female_goat","not_calved_female_goat","total_female_goat","total_goat"
28,532,52,21,22,43,151,153,304,347,0,33185,17262,3994,3459,2805,475,61180,65198,46933,116807,38121,20353,8029,295441,356621,274,107,59,20,201,719,1380,980,162,639,319,43,526,2669,4049,274,107,59,20,201,719,1380,94678,86025,175356,72993,30840,12985,472877,992718,996767,58657,50103,108760,100041,218967,319008,427768,18517,346276,364793,622951,23533,646484,256448,13192,269640,256448,13192,232906,70816,66265,137081,114448,187601,73306,36572,411927,549008
28,533,36,0,0,0,0,0,0,0,0,34833,13318,4411,6034,4168,2201,64965,84615,67826,169045,33210,23503,9453,387652,452617,360,143,52,289,252,24,1120,783,346,1401,282,117,83,3012,4132,360,143,52,289,252,24,1120,33653,30335,65832,15330,11666,7253,164069,409646,413778,118269,120641,238910,211080,462018,673098,912008,16309,202969,219278,307228,24799,332027,146440,14223,160663,146440,14223,81850,73550,69255,142805,113929,149201,41915,31771,336816,479621
28,534,56,835,761,1596,1132,1468,2600,4196,0,48890,16928,3832,6957,2351,959,79917,129989,75756,233968,59710,24126,8797,532346,612263,2045,923,289,1025,247,163,4692,5534,2284,9190,1438,796,90,19332,24024,2045,923,289,1025,247,163,4692,32626,23546,50036,18822,7100,2486,134616,529609,553633,194672,174619,369291,403414,961854,1365268,1734559,14333,602057,616390,932848,21891,954739,523878,20334,544212,523878,20334,214982,48190,43868,92058,77331,124422,46793,26216,274762,366820
28,535,46,0,0,0,0,0,0,0,0,34128,15074,8235,25056,9787,4075,96355,81427,41796,147143,41465,29684,6600,348115,444470,1875,1384,1751,3218,2119,239,10586,1508,1058,3466,839,1192,350,8413,18999,1875,1384,1751,3218,2119,239,10586,40953,27263,72406,25592,20391,4978,191583,461255,480254,98620,88778,187398,233970,641224,875194,1062592,31437,203476,234913,340042,41998,382040,198874,11752,210626,198874,11752,116120,66550,47530,114080,105430,200640,74886,47673,428629,542709
28,536,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,537,37,0,0,0,0,0,0,0,2,24059,8605,1827,3121,606,151,38369,41160,23287,92597,30981,7467,1292,196784,235153,2337,891,187,734,77,32,4258,4291,2685,7354,2137,528,179,17174,21432,2337,891,187,734,77,32,4258,23360,18048,43071,17986,4924,6722,114111,272712,294144,55936,43832,99768,117954,372433,490387,590155,12965,142445,155410,247795,12374,260169,130025,49079,179104,130025,49079,88189,50550,40356,90906,68211,127089,56207,22616,274123,365029
28,538,64,21,10,31,22,58,80,111,0,41618,19128,6302,9016,4276,1623,81963,78025,48454,145524,51845,21671,6381,351900,433863,4224,2438,636,3143,733,328,11502,6685,3607,12006,3330,1043,368,27039,38541,4224,2438,636,3143,733,328,11502,65785,52351,118867,57494,28271,8020,330788,782790,821331,329552,243340,572892,800049,2722812,3522861,4095753,20759,345247,366006,582425,25302,607727,272855,13057,285912,272855,13057,206185,90695,74082,164777,136698,238826,95113,39665,510302,675079
28,539,59,0,0,0,0,0,0,0,2,85356,38906,12403,22641,10996,2145,172447,142835,94998,257237,90625,29089,9394,624178,796625,1426,623,283,543,379,115,3369,2783,1555,4626,1290,466,205,10925,14294,1426,623,283,543,379,115,3369,48500,40036,80656,45980,11416,6406,232994,520849,535143,230628,191339,421967,433960,1058187,1492147,1914114,26180,548703,574883,894780,32199,926979,378342,19637,397979,378342,19637,345922,71409,64812,136221,101914,153091,73929,28190,357124,493345
28,540,51,0,0,0,0,0,0,0,0,80180,31453,4628,14165,3166,855,134447,145507,73386,263861,71382,29308,9612,593056,727503,1694,737,137,563,98,11,3240,2594,1214,3637,935,339,59,8778,12018,1694,737,137,563,98,11,3240,46272,37393,83317,43909,17257,7776,235924,779810,791828,251145,181935,433080,455323,1071643,1526966,1960046,24441,782873,807314,1360403,33558,1393961,661345,14984,676329,661345,14984,406848,78776,74376,153152,112732,165297,74470,36804,389303,542455
28,541,46,2263,233,2496,1667,85,1752,4248,0,73998,27438,6975,8939,7040,4095,128485,130157,89866,244446,86778,38647,17332,607226,735711,898,194,7,130,207,4,1440,503,381,834,172,274,98,2262,3702,898,194,7,130,207,4,1440,73642,62747,137392,70751,29783,19502,393817,745001,748703,60711,54829,115540,111274,230837,342111,457651,33686,539908,573594,957993,38945,996938,435298,21651,456949,435298,21651,422978,85722,80091,165813,125908,153865,109526,57132,446431,612244
