"state_code","district_code","year","project_code","finan_outlay","num_proj"
28,532,2012,2,13.2576,8
28,532,2012,3,3.8973,7
28,532,2012,5,1.0958,1
28,532,2012,6,0.46,1
28,532,2012,9,0.122,3
28,532,2012,14,2.3,1
28,532,2012,17,0.675,1
28,532,2012,19,1.0768,2
28,532,2012,20,0.0511,2
28,532,2014,2,2.471,11
28,532,2014,3,0.395,1
28,532,2014,6,0.0901,1
28,532,2014,10,1.423,6
28,532,2014,14,0.368,1
28,532,2014,15,0.4,1
28,532,2014,17,0.5453,10
28,532,2014,18,0.058,1
28,532,2014,19,9.8,1
28,532,2014,20,0.104,1
28,533,2012,2,16.2273,8
28,533,2012,3,4.0003,7
28,533,2012,6,1.95,2
28,533,2012,9,0.0994,2
28,533,2012,17,0.4575,1
28,533,2012,19,1.5474,2
28,533,2012,20,0.033,1
28,533,2014,2,6.342,14
28,533,2014,3,0.6942,2
28,533,2014,6,1.6704,3
28,533,2014,10,2.0457,8
28,533,2014,14,0.221,1
28,533,2014,15,0.005,1
28,533,2014,17,0.5453,10
28,533,2014,18,0.055,1
28,533,2014,19,7.2,1
28,534,2012,2,17.5451,6
28,534,2012,3,5.1311,7
28,534,2012,6,1.15,1
28,534,2012,9,0.272,4
28,534,2012,14,5,1
28,534,2012,17,0.4575,1
28,534,2012,19,1.1868,2
28,534,2012,20,0.1004,3
28,534,2014,2,8.435,13
28,534,2014,3,0.46,1
28,534,2014,6,0.045,1
28,534,2014,10,1.3235,7
28,534,2014,14,0.22,1
28,534,2014,15,0.035,1
28,534,2014,17,0.5453,10
28,534,2014,18,0.035,1
28,534,2014,20,0.052,1
28,535,2012,2,13.2026,8
28,535,2012,3,4.7507,7
28,535,2012,5,2.1452,1
28,535,2012,6,2.75,2
28,535,2012,9,0.0994,2
28,535,2012,14,3,1
28,535,2012,17,0.4275,1
28,535,2012,19,1.1368,2
28,535,2012,20,0.0848,2
28,535,2014,2,6.195,15
28,535,2014,3,1.6038,2
28,535,2014,6,1.3566,3
28,535,2014,10,7.886,10
28,535,2014,12,0.2,1
28,535,2014,14,0.012,1
28,535,2014,15,0.15,1
28,535,2014,17,0.5453,10
28,535,2014,18,0.055,1
28,535,2014,19,1.87,1
28,536,2012,6,0.5,1
28,536,2012,9,0.015,1
28,536,2012,14,6,1
28,536,2014,6,3,1
28,536,2014,11,0.03,1
28,536,2014,17,0.09,2
28,537,2012,2,7.2373,5
28,537,2012,3,3.9033,7
28,537,2012,6,2.3,1
28,537,2012,9,0.1195,3
28,537,2012,16,2.222,1
28,537,2012,17,1.0125,1
28,537,2012,19,0.9321,1
28,537,2012,20,0.0835,2
28,537,2014,2,3.572,12
28,537,2014,3,0.345,1
28,537,2014,8,0.27,1
28,537,2014,10,6.2144,10
28,537,2014,11,0.12,1
28,537,2014,12,0.08,1
28,537,2014,14,0.653,1
28,537,2014,15,0.125,1
28,537,2014,17,0.5367,10
28,537,2014,18,0.255,2
28,538,2012,2,15.3726,9
28,538,2012,3,7.6964,7
28,538,2012,5,0.6996,1
28,538,2012,6,2.75,2
28,538,2012,9,0.187,3
28,538,2012,17,0.45,1
28,538,2012,19,1.416,2
28,538,2012,20,0.0835,2
28,538,2014,2,7.565,14
28,538,2014,3,1.3223,2
28,538,2014,6,2.281,3
28,538,2014,10,5.6348,11
28,538,2014,12,0.13,1
28,538,2014,14,0.221,1
28,538,2014,15,0.25,1
28,538,2014,17,0.5453,10
28,538,2014,18,0.055,1
28,539,2012,2,12.2198,7
28,539,2012,3,5.8806,7
28,539,2012,6,0.69,1
28,539,2012,9,0.1655,3
28,539,2012,16,2.222,1
28,539,2012,17,1.0425,1
28,539,2012,19,1.2021,2
28,539,2012,20,0.3023,2
28,539,2014,2,7.45,12
28,539,2014,3,0.525,1
28,539,2014,10,3.6373,9
28,539,2014,12,0.15,1
28,539,2014,14,0.331,1
28,539,2014,15,0.025,1
28,539,2014,17,0.5453,10
28,539,2014,18,0.028,1
28,539,2014,19,2,1
28,540,2012,2,17.6148,9
28,540,2012,3,5.3008,7
28,540,2012,6,1.95,2
28,540,2012,9,0.187,3
28,540,2012,14,1.06,1
28,540,2012,17,0.4575,1
28,540,2012,19,1.4958,2
28,540,2012,20,0.1385,4
28,540,2014,2,6.523,14
28,540,2014,3,1.6394,2
28,540,2014,6,1.3566,3
28,540,2014,8,0.28,1
28,540,2014,10,1.7862,8
28,540,2014,11,0.05,1
28,540,2014,12,0.21,1
28,540,2014,14,0.26,1
28,540,2014,15,0.01,1
28,540,2014,17,0.5353,9
28,540,2014,18,0.254,2
28,541,2012,2,13.6823,8
28,541,2012,3,4.2903,7
28,541,2012,6,2.3,1
28,541,2012,9,0.1019,2
28,541,2012,14,3,1
28,541,2012,16,1.111,1
28,541,2012,17,0.45,1
28,541,2012,19,0.8474,1
28,541,2012,20,0.1353,3
28,541,2014,2,4.465,14
28,541,2014,3,1.1653,2
28,541,2014,6,0.1803,1
28,541,2014,10,1.6188,9
28,541,2014,12,0.18,1
28,541,2014,14,0.184,1
28,541,2014,15,0.025,1
28,541,2014,17,0.5453,10
28,541,2014,18,0.055,1
