"state_code","district_code","social_group_code","class_category_code","crop_code","crop_noh","irrigated_area","unirrigated_area","total_area"
28,532,1,1,101,10574,3241,1101,4342
28,532,1,1,102,1470,21,464,485
28,532,1,1,103,30,4,6,10
28,532,1,1,104,2078,104,388,493
28,532,1,1,105,14,2,0,3
28,532,1,1,106,18,3,2,5
28,532,1,1,188,0,0,0,0
28,532,1,1,201,127,21,23,44
28,532,1,1,202,4760,41,762,803
28,532,1,1,203,367,32,60,92
28,532,1,1,204,598,43,137,180
28,532,1,1,205,3,0,3,3
28,532,1,1,206,10,0,4,4
28,532,1,1,207,0,0,0,0
28,532,1,1,288,2,0,1,1
28,532,1,1,399,19439,3512,2951,6463
28,532,1,1,502,113,58,3,61
28,532,1,1,504,419,156,29,185
28,532,1,1,507,0,0,0,0
28,532,1,1,509,0,0,0,0
28,532,1,1,601,231,13,117,130
28,532,1,1,607,0,0,0,0
28,532,1,1,703,0,0,0,0
28,532,1,1,708,0,0,0,0
28,532,1,1,711,20,12,1,13
28,532,1,1,713,31,0,6,6
28,532,1,1,717,189,45,13,58
28,532,1,1,718,3,0,0,0
28,532,1,1,720,28,0,8,8
28,532,1,1,730,78,26,20,47
28,532,1,1,788,136,29,15,45
28,532,1,1,1001,125,46,9,56
28,532,1,1,1002,368,30,48,77
28,532,1,1,1003,495,28,77,106
28,532,1,1,1004,11,8,0,8
28,532,1,1,1005,17,0,7,7
28,532,1,1,1006,73,14,11,25
28,532,1,1,1007,17,2,4,6
28,532,1,1,1008,0,0,0,0
28,532,1,1,1009,3175,14,1398,1412
28,532,1,1,1010,0,0,0,0
28,532,1,1,1011,14,2,0,2
28,532,1,1,1101,22826,339,10877,11216
28,532,1,1,1102,3,0,1,1
28,532,1,1,1103,12,0,6,6
28,532,1,1,1104,8,1,2,3
28,532,1,1,1401,0,0,0,0
28,532,1,2,101,3467,2065,1269,3334
28,532,1,2,102,1415,1,533,534
28,532,1,2,103,9,9,0,9
28,532,1,2,104,472,109,107,217
28,532,1,2,105,0,0,0,0
28,532,1,2,106,14,6,0,7
28,532,1,2,188,0,0,0,0
28,532,1,2,201,112,17,53,70
28,532,1,2,202,5178,31,1387,1418
28,532,1,2,203,218,5,57,62
28,532,1,2,204,388,10,123,134
28,532,1,2,205,0,0,0,0
28,532,1,2,206,0,0,0,0
28,532,1,2,207,9,0,6,6
28,532,1,2,288,17,0,3,3
28,532,1,2,399,9356,2254,3539,5792
28,532,1,2,502,51,28,1,29
28,532,1,2,504,391,251,32,284
28,532,1,2,507,0,0,0,0
28,532,1,2,509,0,0,0,0
28,532,1,2,601,235,0,248,248
28,532,1,2,607,0,0,0,0
28,532,1,2,703,4,0,6,6
28,532,1,2,708,15,0,15,15
28,532,1,2,711,31,32,0,32
28,532,1,2,713,8,4,1,4
28,532,1,2,717,3,1,0,1
28,532,1,2,718,0,0,0,0
28,532,1,2,720,26,4,8,12
28,532,1,2,730,59,50,8,58
28,532,1,2,788,48,17,0,17
28,532,1,2,1001,75,59,5,64
28,532,1,2,1002,21,0,10,10
28,532,1,2,1003,84,26,20,46
28,532,1,2,1004,0,0,0,0
28,532,1,2,1005,15,0,6,6
28,532,1,2,1006,8,5,4,9
28,532,1,2,1007,25,0,11,11
28,532,1,2,1008,0,0,0,0
28,532,1,2,1009,1627,16,1182,1198
28,532,1,2,1010,0,0,0,0
28,532,1,2,1011,0,0,0,0
28,532,1,2,1101,13860,510,15544,16054
28,532,1,2,1102,0,0,0,0
28,532,1,2,1103,7,0,9,9
28,532,1,2,1104,12,7,0,7
28,532,1,2,1401,10,0,9,9
28,532,1,3,101,1963,1312,1571,2882
28,532,1,3,102,1774,4,810,814
28,532,1,3,103,15,0,10,10
28,532,1,3,104,574,57,195,253
28,532,1,3,105,0,0,0,0
28,532,1,3,106,14,5,1,6
28,532,1,3,188,5,0,3,3
28,532,1,3,201,214,21,110,131
28,532,1,3,202,4207,9,1708,1717
28,532,1,3,203,195,0,56,57
28,532,1,3,204,811,3,293,296
28,532,1,3,205,0,0,0,0
28,532,1,3,206,0,0,0,0
28,532,1,3,207,101,0,47,47
28,532,1,3,288,89,0,7,7
28,532,1,3,399,6564,1412,4812,6222
28,532,1,3,502,122,42,37,79
28,532,1,3,504,112,117,49,165
28,532,1,3,507,4,3,0,3
28,532,1,3,509,0,0,0,0
28,532,1,3,601,131,12,177,189
28,532,1,3,607,5,0,6,6
28,532,1,3,703,0,0,0,0
28,532,1,3,708,0,0,0,0
28,532,1,3,711,12,20,0,20
28,532,1,3,713,0,0,0,0
28,532,1,3,717,6,0,5,5
28,532,1,3,718,3,0,1,1
28,532,1,3,720,9,0,8,8
28,532,1,3,730,0,0,0,0
28,532,1,3,788,15,4,0,4
28,532,1,3,1001,46,45,0,45
28,532,1,3,1002,6,0,5,5
28,532,1,3,1003,17,0,7,7
28,532,1,3,1004,0,0,0,0
28,532,1,3,1005,0,0,0,0
28,532,1,3,1006,10,12,5,17
28,532,1,3,1007,8,0,5,5
28,532,1,3,1008,4,0,1,1
28,532,1,3,1009,1757,15,1745,1760
28,532,1,3,1010,7,0,6,6
28,532,1,3,1011,0,0,0,0
28,532,1,3,1101,8591,341,15526,15867
28,532,1,3,1102,10,0,15,15
28,532,1,3,1103,4,1,0,1
28,532,1,3,1104,4,0,5,5
28,532,1,3,1401,0,0,0,0
28,532,1,4,101,494,224,863,1088
28,532,1,4,102,437,0,330,330
28,532,1,4,103,0,0,0,0
28,532,1,4,104,142,16,68,84
28,532,1,4,105,0,0,0,0
28,532,1,4,106,5,3,0,3
28,532,1,4,188,0,0,0,0
28,532,1,4,201,58,8,64,72
28,532,1,4,202,1044,5,773,778
28,532,1,4,203,65,0,25,25
28,532,1,4,204,123,3,54,56
28,532,1,4,205,0,0,0,0
28,532,1,4,206,0,0,0,0
28,532,1,4,207,45,0,38,38
28,532,1,4,288,27,0,6,6
28,532,1,4,399,1401,257,2222,2479
28,532,1,4,502,51,10,39,49
28,532,1,4,504,18,3,16,19
28,532,1,4,507,0,0,0,0
28,532,1,4,509,4,0,2,2
28,532,1,4,601,32,72,57,129
28,532,1,4,607,0,0,0,0
28,532,1,4,703,0,0,0,0
28,532,1,4,708,0,0,0,0
28,532,1,4,711,0,0,0,0
28,532,1,4,713,11,0,3,3
28,532,1,4,717,0,0,0,0
28,532,1,4,718,3,0,1,1
28,532,1,4,720,0,0,0,0
28,532,1,4,730,4,20,0,20
28,532,1,4,788,3,0,1,1
28,532,1,4,1001,2,1,0,1
28,532,1,4,1002,18,0,34,34
28,532,1,4,1003,9,0,4,4
28,532,1,4,1004,0,0,0,0
28,532,1,4,1005,0,0,0,0
28,532,1,4,1006,2,10,0,10
28,532,1,4,1007,6,0,5,5
28,532,1,4,1008,0,0,0,0
28,532,1,4,1009,451,3,667,670
28,532,1,4,1010,6,0,5,5
28,532,1,4,1011,0,0,0,0
28,532,1,4,1101,1865,114,6514,6627
28,532,1,4,1102,22,0,38,38
28,532,1,4,1103,0,0,0,0
28,532,1,4,1104,0,0,0,0
28,532,1,4,1401,0,0,0,0
28,532,1,5,101,40,59,122,182
28,532,1,5,102,22,0,32,32
28,532,1,5,103,0,0,0,0
28,532,1,5,104,15,2,24,25
28,532,1,5,105,0,0,0,0
28,532,1,5,106,0,0,0,0
28,532,1,5,188,0,0,0,0
28,532,1,5,201,6,0,8,8
28,532,1,5,202,48,2,124,125
28,532,1,5,203,3,0,3,3
28,532,1,5,204,3,0,3,3
28,532,1,5,205,0,0,0,0
28,532,1,5,206,0,0,0,0
28,532,1,5,207,0,0,0,0
28,532,1,5,288,0,0,0,0
28,532,1,5,399,73,63,316,378
28,532,1,5,502,0,0,0,0
28,532,1,5,504,1,3,0,3
28,532,1,5,507,0,0,0,0
28,532,1,5,509,0,0,0,0
28,532,1,5,601,7,51,38,89
28,532,1,5,607,0,0,0,0
28,532,1,5,703,0,0,0,0
28,532,1,5,708,0,0,0,0
28,532,1,5,711,0,0,0,0
28,532,1,5,713,0,0,0,0
28,532,1,5,717,0,0,0,0
28,532,1,5,718,0,0,0,0
28,532,1,5,720,0,0,0,0
28,532,1,5,730,0,0,0,0
28,532,1,5,788,0,0,0,0
28,532,1,5,1001,0,0,0,0
28,532,1,5,1002,2,0,2,2
28,532,1,5,1003,0,0,0,0
28,532,1,5,1004,0,0,0,0
28,532,1,5,1005,0,0,0,0
28,532,1,5,1006,0,0,0,0
28,532,1,5,1007,2,0,2,2
28,532,1,5,1008,0,0,0,0
28,532,1,5,1009,25,0,120,120
28,532,1,5,1010,0,0,0,0
28,532,1,5,1011,0,0,0,0
28,532,1,5,1101,146,7,1220,1227
28,532,1,5,1102,0,0,0,0
28,532,1,5,1103,0,0,0,0
28,532,1,5,1104,0,0,0,0
28,532,1,5,1401,0,0,0,0
28,532,2,1,101,5289,1375,870,2245
28,532,2,1,102,2229,15,581,596
28,532,2,1,103,6,2,0,2
28,532,2,1,104,2494,117,488,605
28,532,2,1,106,0,0,0,0
28,532,2,1,108,0,0,0,0
28,532,2,1,201,103,9,23,31
28,532,2,1,202,7495,28,1325,1352
28,532,2,1,203,172,17,31,47
28,532,2,1,204,1182,30,304,334
28,532,2,1,206,12,0,3,3
28,532,2,1,207,0,0,0,0
28,532,2,1,288,9,0,1,1
28,532,2,1,399,17236,1591,3626,5217
28,532,2,1,502,23,15,0,15
28,532,2,1,504,231,100,6,107
28,532,2,1,509,0,0,0,0
28,532,2,1,601,162,15,74,88
28,532,2,1,710,0,0,0,0
28,532,2,1,711,17,12,0,12
28,532,2,1,713,55,0,15,16
28,532,2,1,716,0,0,0,0
28,532,2,1,717,155,45,8,53
28,532,2,1,718,13,1,2,2
28,532,2,1,720,61,11,13,23
28,532,2,1,730,55,23,13,35
28,532,2,1,788,56,10,10,21
28,532,2,1,1001,77,40,4,44
28,532,2,1,1002,146,15,21,37
28,532,2,1,1003,281,10,53,63
28,532,2,1,1005,88,0,22,22
28,532,2,1,1006,50,13,7,21
28,532,2,1,1007,6,0,2,2
28,532,2,1,1008,5,0,2,2
28,532,2,1,1009,2228,0,1029,1029
28,532,2,1,1010,0,0,0,0
28,532,2,1,1011,0,0,0,0
28,532,2,1,1101,25036,256,13163,13418
28,532,2,1,1102,15,3,4,7
28,532,2,1,1103,17,0,8,8
28,532,2,1,1104,7,0,4,4
28,532,2,1,1605,3,0,2,2
28,532,2,2,101,2172,1037,873,1910
28,532,2,2,102,4385,0,1809,1809
28,532,2,2,103,4,0,2,2
28,532,2,2,104,1204,63,354,417
28,532,2,2,106,24,5,10,15
28,532,2,2,108,0,0,0,0
28,532,2,2,201,144,17,34,51
28,532,2,2,202,15318,26,4135,4161
28,532,2,2,203,305,0,110,110
28,532,2,2,204,1482,1,580,582
28,532,2,2,206,0,0,0,0
28,532,2,2,207,0,0,0,0
28,532,2,2,288,51,0,13,13
28,532,2,2,399,19672,1150,7921,9071
28,532,2,2,502,33,1,8,9
28,532,2,2,504,342,231,27,258
28,532,2,2,509,0,0,0,0
28,532,2,2,601,152,3,181,185
28,532,2,2,710,0,0,0,0
28,532,2,2,711,41,41,0,41
