"state_code","district_code","social_group_code","class_category_code","noh_individual","auh_individual","noh_joint","auh_joint","noh_total","auh_total","no_tehsils"
28,532,1,1,47797,22021,216,90,48013,22113,104
28,532,1,2,18830,26495,87,125,18917,26618,52
28,532,1,3,10917,27123,75,211,10992,27335,104
28,532,1,4,2164,11856,42,212,2206,12065,156
28,532,1,5,163,2435,3,35,166,2470,104
28,532,2,1,41114,22410,72,33,41186,22442,104
28,532,2,2,34755,49748,39,55,34794,49802,52
28,532,2,3,27971,71360,35,93,28006,71454,104
28,532,2,4,6902,36336,16,94,6918,36433,156
28,532,2,5,436,7111,0,0,436,7111,104
28,532,3,1,169420,78407,532,238,169952,78646,104
28,532,3,2,89985,129116,232,333,90217,129445,52
28,532,3,3,51553,133355,205,563,51758,133918,104
28,532,3,4,14735,82686,123,744,14858,83433,156
28,532,3,5,1495,24377,23,387,1518,24764,104
28,532,4,1,0,0,0,0,26,10,104
28,532,4,2,0,0,0,0,6,8,52
28,532,4,3,0,0,0,0,9,26,104
28,532,4,4,0,0,0,0,7,47,156
28,532,4,5,0,0,0,0,10,443,104
28,533,1,1,49457,21490,0,0,49457,21490,72
28,533,1,2,10813,14517,0,0,10813,14517,36
28,533,1,3,2092,5217,0,0,2092,5217,72
28,533,1,4,218,1146,0,0,218,1146,108
28,533,1,5,11,153,0,0,11,153,72
28,533,2,1,26281,13796,0,0,26281,13796,72
28,533,2,2,10578,14240,0,0,10578,14240,36
28,533,2,3,1991,4774,0,0,1991,4774,72
28,533,2,4,124,660,0,0,124,660,108
28,533,2,5,8,145,0,0,8,145,72
28,533,3,1,243673,112104,0,0,243673,112104,72
28,533,3,2,91437,128016,0,0,91437,128016,36
28,533,3,3,30425,79379,0,0,30425,79379,72
28,533,3,4,5949,32381,0,0,5949,32381,108
28,533,3,5,399,5693,0,0,399,5693,72
28,533,4,1,0,0,0,0,20,8,72
28,533,4,2,0,0,0,0,8,11,36
28,533,4,3,0,0,0,0,13,32,72
28,533,4,4,0,0,0,0,15,99,108
28,533,4,5,0,0,0,0,16,604,72
28,534,1,1,78826,31456,0,0,78826,31456,114
28,534,1,2,13973,18939,0,0,13973,18939,57
28,534,1,3,3206,8178,1,2,3207,8180,114
28,534,1,4,544,2840,0,0,544,2840,171
28,534,1,5,29,467,0,0,29,467,114
28,534,2,1,13623,6372,0,0,13623,6372,114
28,534,2,2,4278,5859,0,0,4278,5859,57
28,534,2,3,1188,3027,0,0,1188,3027,114
28,534,2,4,228,1170,0,0,228,1170,171
28,534,2,5,15,232,0,0,15,232,114
28,534,3,1,348399,156517,5,3,348404,156520,114
28,534,3,2,124264,174812,0,0,124264,174812,57
28,534,3,3,50191,132706,0,0,50191,132706,114
28,534,3,4,12878,70466,1,7,12879,70473,171
28,534,3,5,1016,15662,0,0,1016,15662,114
28,534,4,1,0,0,0,0,3,1,114
28,534,4,2,0,0,0,0,5,10,57
28,534,4,3,0,0,0,0,4,10,114
28,534,4,4,0,0,0,0,7,42,171
28,534,4,5,0,0,0,0,6,291,114
28,535,1,1,84157,34756,10,5,84167,34761,92
28,535,1,2,18588,25230,5,6,18593,25236,46
28,535,1,3,4278,10811,1,2,4279,10814,92
28,535,1,4,622,3377,0,0,622,3377,138
28,535,1,5,41,685,0,0,41,685,92
28,535,2,1,21530,11034,8,6,21538,11040,92
28,535,2,2,9876,13650,2,2,9878,13652,46
28,535,2,3,3064,7837,2,6,3066,7843,92
28,535,2,4,572,3157,0,0,572,3157,138
28,535,2,5,46,668,0,0,46,668,92
28,535,3,1,359326,152644,21,11,359347,152655,92
28,535,3,2,120358,168716,19,28,120377,168744,46
28,535,3,3,45956,121875,6,19,45962,121893,92
28,535,3,4,14186,80361,3,15,14189,80376,138
28,535,3,5,1680,25267,2,30,1682,25297,92
28,535,4,1,0,0,0,0,48,26,92
28,535,4,2,0,0,0,0,32,45,46
28,535,4,3,0,0,0,0,32,83,92
28,535,4,4,0,0,0,0,32,199,138
28,535,4,5,0,0,0,0,40,2375,92
28,537,1,1,36096,17114,57,27,36153,17139,74
28,537,1,2,12086,16697,19,23,12105,16721,37
28,537,1,3,4091,10514,10,28,4101,10543,74
28,537,1,4,645,3462,5,23,650,3486,111
28,537,1,5,36,588,0,0,36,588,74
28,537,2,1,17557,9279,45,24,17602,9304,74
28,537,2,2,8003,11022,22,28,8025,11051,37
28,537,2,3,3275,8279,19,53,3294,8332,74
