code,description,,,,,,,,,,,,,,,,,,,,
report_area,Reporting Area For Land Utilisation Statistics (in ha.),,,,,,,,,,,,,,,,,,,,
forests,Forests (in ha.),,,,,,,,,,,,,,,,,,,,
nac_nau,Area Under Non Agricultural Uses (in ha.),,,,,,,,,,,,,,,,,,,,
nac_bul,Barren and UnCulturable Land (in ha.),,,,,,,,,,,,,,,,,,,,
nac_total,Land not available for cultivation (in ha.),,,,,,,,,,,,,,,,,,,,
oulefl_pp,Permanent Pastures and Other Grazing Lands (in ha.),,,,,,,,,,,,,,,,,,,,
oulefl_misc,Land Under Misc Tree Crops and Groves not Included in Net Area (in ha.),,,,,,,,,,,,,,,,,,,,
oulefl_cwl,Culturable Waste Land (in ha.),,,,,,,,,,,,,,,,,,,,
oulefl_total,Other Uncultivated Land Excluding  Fallow Land (in ha.),,,,,,,,,,,,,,,,,,,,
f_ot_th_current,Fallows Other than Current Fallows (in ha.),,,,,,,,,,,,,,,,,,,,
current_fallows,Current Fallows (in ha.),,,,,,,,,,,,,,,,,,,,
fallow_land_total,Total Fallow Land (in ha.),,,,,,,,,,,,,,,,,,,,
nsa,Net Sown Area (in ha.),,,,,,,,,,,,,,,,,,,,
gca,Gross Cropped Area (in ha.),,,,,,,,,,,,,,,,,,,,
area_sown_more,Area Sown More than Once (in ha.),,,,,,,,,,,,,,,,,,,,
