code,description
area,Area in sq.Km
no_hh,No. of Households
tot_p,Total Population
tot_m,Total Males
tot_f,Total Females
p_06,Child Population (0-6 years age group) - Persons
m_06,Child Population (0-6 years age group) – Males
f_06,Child Population (0-6 years age group) – Females
p_sc,Scheduled Caste - Persons
m_sc,Scheduled Caste – Males
f_sc,Scheduled Caste – Females
p_st,Scheduled Tribe - Persons
m_st,Scheduled Tribe – Males
f_st,Scheduled Tribe – Females
p_lit,Literate - Persons
m_lit,Literate – Males
f_lit,Literate – Females
p_ill,Illiterate – Persons
m_ill,Illiterate – Males
f_ill,Illiterate – Females
tot_work_p,Total Workers – Persons 
tot_work_m,Total Workers – Males
tot_work_f,Total Workers – Females
mainwork_p,Main Workers – Persons -
mainwork_m,Main Workers – Males
mainwork_f,Main Workers – Females
main_cl_p,Cultivators among Main Workers - Persons
main_cl_m,Cultivators among Main Workers – Males
main_cl_f,Cultivators among Main Workers – Females
main_al_p,Agricultural Labourers among Main Workers - Persons
main_al_m,Agricultural Labourers among Main Workers – Males
main_al_f,Agricultural Labourers among Main Workers – Females
main_hh_p,Household Industry Workers among Main Workers - Persons
main_hh_m,Household Industry Workers among Main Workers – Males
main_hh_f,Household Industry Workers among Main Workers – Females
main_ot_p,Other Workers among Main Workers - Persons
main_ot_m,Other Workers among Main Workers – Males
main_ot_f,Other Workers among Main Workers – Females
margwork_p,Marginal Workers - Persons
margwork_m,Marginal Workers - Males
margwork_f,Marginal Workers – Females
marg_cl_p,Cultivators among Marginal Workers - Persons
marg_cl_m,Cultivators among Marginal Workers – Males
marg_cl_f,Cultivators among Marginal Workers – Females
marg_al_p,Agricultural Labourers among Marginal Workers - Persons
marg_al_m,Agricultural Labourers among Marginal Workers – Males
marg_al_f,Agricultural Labourers among Marginal Workers – Females
marg_hh_p,Household Industry Workers among Marginal Workers - Persons
marg_hh_m,Household Industry Workers among Marginal Workers – Males
marg_hh_f,Household Industry Workers among Marginal Workers – Females
marg_ot_p,Other Workers among Marginal Workers - Persons
marg_ot_m,Other Workers among Marginal Workers – Males
marg_ot_f,Other Workers among Marginal Workers – Females
margwork_3_6_p,Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration - Persons
margwork_3_6_m,Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Males
margwork_3_6_f,Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Females
marg_cl_3_6_p,Cultivators among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration - Persons
marg_cl_3_6_m,Cultivators among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Males
marg_cl_3_6_f,Cultivators among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Females
marg_al_3_6_p,Agricultural Labourers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration - Persons
marg_al_3_6_m,Agricultural Labourers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Males
marg_al_3_6_f,Agricultural Labourers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Females
marg_hh_3_6_p,Household Industry Workers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration - Persons
marg_hh_3_6_m,Household Industry Workers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Males
marg_hh_3_6_f,Household Industry Workers among Marginal Workers worked for 3 months or more but less than 6 months in one year preceding the date of enumeration – Females
