code,description
tnoh,Total Number of Operational Holdings
tauh,Total Area Operated (in Ha.)
woandsoh_noh,Number of Wholly Owned & Self Operated Holdings
woandsoh_aoh,Area Operated (in Ha.) Under Wholly Owned & Self Operated Holdings
wlh_noh,Number of Wholly Leased-In Holdings
wlh_auh,Area Operated (in Ha.) Under Wholly Leased-In Holdings
wotherwiseoh_noh,Number of Wholly Otherwise Operated Holdings
wotherwiseoh_auh,Area Operated (in Ha.) Under Wholly Otherwise Operated Holdings
poplandpotherwiseo_noh,"Number of Partly Owned, Partly Leased-In and Partly Otherwise Operated"
poplandpotherwiseo_auo,"Partly Owned Area (in Ha.) Under Partly Owned, Partly Leased-In and Partly Otherwise Operated"
poplandpotherwiseo_aul,"Partly Leased-In Area (in Ha.) Under Partly Owned, Partly Leased-In and Partly Otherwise Operated"
poplandpotherwiseo_auotho,"Partly Other Operated Area (in Ha.) Under Partly Owned, Partly Leased-In and Partly Otherwise Operated"
poplandpotherwiseo_tauh,"Total Area Operated (in Ha.) Under Partly Owned, Partly Leased-In and Partly Otherwise Operated"
poplandpotherwiseo_for_fm,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Area (in Ha.) Leased-In For Fixed Money)"
poplandpotherwiseo_for_fp,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Area (in Ha.) Leased-In For Fixed Produce)"
poplandpotherwiseo_for_sop,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Area (in Ha.) Leased-In For Share of Produce)"
poplandpotherwiseo_for_um,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Area (in Ha.) Leased-In For Usufructry)"
poplandpotherwiseo_for_ot,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Area (in Ha.) Leased-In For Other Items)"
poplandpotherwiseo_for_total,"Partly Owned, Partly Leased-In and Partly Otherwise Operated Holdings (Partly Leased-In Area (in Ha.))"
wl_for_fm,Wholly Leased-In Holdings (Area (in Ha.)Leased-In For Fixed Money)
wl_for_fp,Wholly Leased-In Holdings (Area (in Ha.)Leased-In For Fixed Produce)
wl_for_sop,Wholly Leased-In Holdings (Area (in Ha.)Leased-In For Share of Produce)
wl_for_um,Wholly Leased-In Holdings (Area (in Ha.)Leased-In For Usufructry)
wl_for_ot,Wholly Leased-In Holdings (Area (in Ha.)Leased-In For Other Items)
wl_for_total,Wholly Leased-In Holdings (Total Wholly Leased-In Area (in Ha.))
nsa,Net Area Sown (in Ha.)
aucf,Area (in Ha.) Under Current Fallows
nac,Net Area (in Ha.) Cultivated
aulefl,Uncultivated Land (in Ha.) Excluding Fallow Land
fothtcf,Fallow Land (in Ha.) Other than Current Fallows
cwl,Culturable Waste Land (in Ha.)
tul,Total Uncultivated Land (in Ha.)
lnotaforc,Land (in Ha.) not Available for Cultivation
nowih,Number of Wholly Irrigated Holdings
auwirrigatedh,Area (in Ha.) Under Wholly Irrigated Holdings
nowunirrigatedh,Number of Wholly Unrrigated Holdings
auwunirrigatedh,Area (in Ha.) Under Wholly Unrrigated Holdings
nopih,Number of Partially Irrigated Holdings
aupih,Area (in Ha.) Under Partially Irrigated Holdings
aupihirrigated,Irrigated Area (in Ha.) Under Partially Irrigated Holdings
nohrirrigation,Number of Holding Receiving Irrigation
netauhrirrigation,Net Area Under (in Ha.) Holdings  Receiving Irrigation
noh_canalirri,Number of Holdings Under Canal Irrigation
auh_canalirri,Area (in Ha.) Under Canal Irrigation
noh_tanksirri,Number of Holdings Under Tank Irrigation
auh_tanksirri,Area (in Ha.) Under Tank Irrigation
noh_wellsirri,Number of Holdings Under Well Irrigation
auh_wellsirri,Area (in Ha.) Under Well Irrigation
noh_tubewellsirri,Number of Holdings Tube Well Irrigation
auh_tubewellsirri,Area (in Ha.) Tube Well Irrigation
noh_othirri,Number of Holdings Other Irrigation
auh_othirri,Area (in Ha.) Under Other Irrigation
exnohrirri,Excl No. of Holdings Receiving Irrigation
nia,Net Irrigated Area (in Ha.)
nowinusewelecps,Number of Wells in Use (With Electric Pumpsets)
nowinusewdiselps,Number of Wells in Use (With Disel Pumpsets)
tnowinusewps,Total Number of Wells in Use (With Pumpsets)
tnowinusewopst,Total Number of Wells in Use (With Out Pumpsets)
nownotinuse,Total Number of Wells Not in Use
tubewellselec,Number of Tubewells in Use (With Electric Pumpsets)
tubewellsdisel,Number of Tubewells in Use (With Disel Pumpsets)
tubewellstotal,Total Number of Tubewells in Use
noh_woresideinvor,Number of Operational Holdings Whose Operated Area is Located (Entirely in the Village of Residence)
auh_woresideinvor,Area Operated (in Ha.) Under Holdings Whose Operated Area is Located (Entirely in the Village of Residence)
noh_woresidepinvorandpinovtor,Number of Operational Holdings Whose Operated Area is Located (Partly in the Village of Residence & Partly in other Village(s) ( Same Tehsil ))
aoh_woresidepinvorandpinovtor,Area Operated (in Ha.) Under Holdings Whose Operated Area is Located (Partly in the Village of Residence & Partly in other Village(s) ( Same Tehsil ))
noh_woresideoutsidevortor,Number of Operational Holdings Whose Operated Area is Located (Entirely outside the Village of Residence but within the same Tehsil)
aoh_woresideoutsidevortor,Area Operated (in Ha.) Under Holdings Whose Operated Area is Located (Entirely outside the Village of Residence but within the same Tehsil)
noh_woresideoutsidetor,Number of Operational Holdings Whose Operated Area is Located (Outside the Tehsil)
aoh_woresideoutsidetor,Area Operated (in Ha.) Under Holdings Whose Operated Area is Located (Outside the Tehsil)
gca_irrigated,Irrigated Gross Cropped Area (in Ha.)
gca_unirrigated,Unirrigated Gross Cropped Area (in Ha.)
gca_total,Total Gross Cropped Area (in Ha.)
noh_individual,Number of Operational Holdings Operated By individuals
noh_joint,Number of Operational Holdings Jointly Operated
noh_institutional,Number of Operational Holdings  Operated By Institutions
auh_individual,Area Operated (in Ha.) By Individuals
auh_joint,Area Operated (in Ha.) Jointly
auh_institutional,Area Operated (in Ha.) By Institutions
