code,description
total_livestock,"Total Livestock which covers Cattle, Buffalo, Sheep, Goat, pig, Horses& Ponies, Mules, Donkeys, Camels, Mithun and Yaks"
total_poultry,Total poultry include total birds in the poultry farms and hatcheries
rural_bovine_male,Male bovines in rural areas 
urban_bovine_male,Male bovines in urban areas
total_bovine_male,Total male bovines (rural + urban)
rural_bovine_female,female bovines in rural areas 
urban_bovine_female,female bovines in urban areas
total_bovine_female,Total female bovines (rural + urban)
rural_bovine_total,Total rural  bovines (male and female)
urban_bovine_total,Total urban  bovines (male and female)
total_bovine,Total  bovines
Upto_one_half_year_mec,male exotic cattle less than 1.5 years
used_breeding_only_mec,male exotic cattle used for breeding only
used_draught_only_mec,male exotic cattle used for draught purposes only
used_draught_breeding_mec,male exotic cattle used for both draught and breeding
others_mec,other male exotic cattle
total_mec,total male exotic cattle
Upto_one_half_year_fec,female exotic cattle less than 1 year
one_two_half_years_fec,female exotic cattle between 1 and 2.5 years
in_milk_fec,female exotic cattle in milk
dry_fec,female exotic cattle dry (used to calve but not now)
not_calved_once_fec,female exotic cattle which are not calved once
others_fec,other female exotic cattle
total_fec,total female exotic cattle
total_ec,total exotic/crossbred cattle
upto_two_year_mic,male indigenous cattle less than 2 years
used_breeding_only_mic,male indigenous cattle used for breeding only
used_draught_only_mic,male indigenous cattle used for draught purposes only
used_draught_breeding_mic,male indigenous cattle used for both draught and breeding
others_mic,other male indigenous cattle
total_mic,total male indigenous cattle
Upto_one_year_fic,female indigenous cattle less than 1 year
one_three_years_fic,female indigenous cattle between 1 and 3 years
in_milk_fic,female indigenous cattle in milk
dry_fic,female indigenous cattle dry (used to calve but not now)
not_calved_once_fic,female indigenous cattle which are not calved once
others_fic,other female indigenous cattle
total_fic,total female indigenous cattle
total_ic,total indigenous cattle
total_cattle,total cattle
upto_two_year_mb,male buffaloes less than 2 years
used_breeding_only_mb,male buffaloes used for breeding only
used_draught_only_mb,male buffaloes used for draught only
used_draught_breeding_mb,male buffaloes used for draught and breeding only
others_mb,other male buffaloes
total_mb,total male buffaloes
Upto_one_year_fb,female buffaloes less than 1 year
one_three_years_fb,female buffaloes between 1 and 3 years
in_milk_fb,female buffaloes in milk
dry_fb,female buffaloes dry (used to calve but not now)
not_calved_once_fb,female buffaloes which are not calved once
others_fb,other female buffaloes
total_fb,total female buffaloes
total_buffaloes,total buffaloes
u_3_male_mithuns,male mithuns under 3 years
u_3_female_mithuns,female mithuns under 3 years
u_3_total_mithuns,total mithuns under 3 years
